Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20191022,Jrue Holiday,Nor,41.05,6,15,.400,1,6,.167,0,2,.000,2,2,4,6,0,2,5,2,13,-14
20191022,Brandon Ingram,Nor,35.06,8,19,.421,2,5,.400,4,4,1.000,0,5,5,5,1,2,2,4,22,-19
20191022,J.J. Redick,Nor,27.03,6,9,.667,4,6,.667,0,0,0,0,2,2,1,0,0,3,3,16,-14
20191022,Lonzo Ball,Nor,24.50,2,7,.286,2,3,.667,2,2,1.000,0,5,5,5,0,0,1,2,8,-7
20191022,Derrick Favors,Nor,20.46,3,6,.500,0,0,0,0,0,0,1,6,7,2,0,1,1,5,6,-12
20191022,Josh Hart,Nor,28.10,4,9,.444,3,5,.600,4,4,1.000,4,6,10,1,0,1,1,4,15,-1
20191022,Nicolò Melli,Nor,19.37,5,7,.714,4,5,.800,0,0,0,2,3,5,2,0,0,2,1,14,+11
20191022,Kenrich Williams,Nor,18.02,0,4,.000,0,2,.000,3,3,1.000,3,3,6,3,1,2,1,5,3,+11
20191022,Frank Jackson,Nor,13.51,3,6,.500,1,3,.333,2,2,1.000,0,0,0,1,0,0,1,3,9,+7
20191022,Jahlil Okafor,Nor,12.29,3,3,1.000,0,0,0,2,3,.667,2,0,2,0,0,1,1,3,8,-7
20191022,E'Twaun Moore,Nor,12.06,2,7,.286,1,3,.333,0,0,0,1,2,3,2,0,0,0,0,5,-1
20191022,Nickeil Alexander-Walker,Nor,11.55,1,10,.100,1,7,.143,0,0,0,1,3,4,2,2,0,1,2,3,+6
20191022,Anthony Davis,LAL,37.22,8,21,.381,0,2,.000,9,14,.643,3,6,9,5,1,2,3,3,25,+3
20191022,LeBron James,LAL,36.00,7,19,.368,1,5,.200,3,4,.750,1,9,10,8,1,1,5,3,18,-8
20191022,Danny Green,LAL,32.20,10,14,.714,7,9,.778,1,1,1.000,1,6,7,0,2,1,0,3,28,+7
20191022,Avery Bradley,LAL,24.02,3,7,.429,2,5,.400,0,0,0,0,3,3,0,0,0,2,3,8,-1
20191022,JaVale McGee,LAL,17.20,2,3,.667,0,0,0,0,0,0,1,1,2,0,0,2,1,0,4,0
20191022,Kentavious Caldwell-Pope,LAL,27.23,0,3,.000,0,2,.000,0,0,0,0,3,3,3,0,0,1,5,0,-8
20191022,Dwight Howard,LAL,19.02,1,3,.333,0,0,0,1,1,1.000,3,3,6,1,0,1,0,4,3,-1
20191022,Quinn Cook,LAL,16.56,2,7,.286,0,3,.000,0,0,0,0,1,1,2,0,0,1,0,4,-9
20191022,Troy Daniels,LAL,16.14,2,6,.333,1,5,.200,1,1,1.000,0,0,0,1,0,0,1,1,6,-13
20191022,Jared Dudley,LAL,13.21,2,2,1.000,2,2,1.000,0,0,0,0,0,0,0,0,0,0,2,6,-20
20191022,Kawhi Leonard,LAC,31.33,10,19,.526,1,5,.200,9,10,.900,1,5,6,5,2,1,6,5,30,+5
20191022,Patrick Beverley,LAC,31.22,1,7,.143,0,5,.000,0,0,0,2,8,10,6,0,1,2,4,2,+13
20191022,Landry Shamet,LAC,26.26,3,8,.375,2,4,.500,0,0,0,0,3,3,2,0,0,0,1,8,-1
20191022,Patrick Patterson,LAC,17.29,1,3,.333,1,3,.333,1,2,.500,1,2,3,0,0,0,0,2,4,-2
20191022,Ivica Zubac,LAC,9.38,4,4,1.000,0,0,0,0,0,0,1,0,1,0,0,0,0,2,8,-5
20191022,Montrezl Harrell,LAC,38.22,7,11,.636,0,0,0,3,8,.375,2,5,7,4,1,1,3,3,17,+15
20191022,Lou Williams,LAC,36.44,8,14,.571,1,4,.250,4,4,1.000,1,4,5,7,1,0,2,0,21,+13
20191022,Maurice Harkless,LAC,29.10,4,7,.571,2,3,.667,0,0,0,2,2,4,0,4,2,0,5,10,+7
20191022,JaMychal Green,LAC,19.16,4,8,.500,4,7,.571,0,0,0,1,5,6,0,0,0,1,3,12,+5
