SG,G,PF,SF,F,UTIL,PG,C,Date,Predicted,Actual
Jamal Murray,LeBron James,Anthony Davis,Kyle Kuzma,Jerami Grant,Danny Green,PJ Dozier,Mason Plumlee,20200918,238.5926274616886,213.25
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Kendrick Nunn,Kelly Olynyk,20200919,237.2646835823087,222.75
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Kyle Kuzma,Danny Green,PJ Dozier,Dwight Howard,20200920,238.57583723276068,216.25
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Paul Millsap,Torrey Craig,Monte Morris,JaVale McGee,20200922,238.58659449852007,252.25
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Brad Wanamaker,Robert Williams,20200923,238.5055983045444,214.25
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Paul Millsap,Kyle Kuzma,Monte Morris,Mason Plumlee,20200924,238.56813587223104,223.5
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Brad Wanamaker,Kelly Olynyk,20200925,237.28748729032174,236.75
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Paul Millsap,Kentavious Caldwell-Pope,PJ Dozier,Mason Plumlee,20200926,238.61969977467953,242.25
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Brad Wanamaker,Robert Williams,20200927,237.3303742073632,204.25
Kawhi Leonard,LeBron James,Anthony Davis,Andrew Wiggins,Joe Harris,Brad Wanamaker,Quinn Cook,Reggie Perry,20201222,238.63687634876845,155.0
Devin Booker,Luka Doncic,Giannis Antetokounmpo,Ben Simmons,Georges Niang,Josh Jackson,Adam Mokoka,JaVale McGee,20201223,238.6831281020174,260.5
Paul George,Luka Doncic,Giannis Antetokounmpo,Khris Middleton,Talen Horton-Tucker,Precious Achiuwa,Payton Pritchard,Isaiah Hartenstein,20201225,238.675996598773,235.75
James Harden,Russell Westbrook,Domantas Sabonis,DeMar DeRozan,Aleksej Pokusevski,JaeSean Tate,Dante Exum,Trey Lyles,20201226,238.75716609044548,293.0
Devin Booker,LeBron James,Giannis Antetokounmpo,Brandon Ingram,Jarred Vanderbilt,Robert Williams,Dante Exum,Tony Bradley,20201227,238.7106367594953,286.75
James Harden,Damian Lillard,Anthony Davis,Will Barton,Rodney Hood,Saddiq Bey,Facundo Campazzo,Isaiah Stewart,20201228,238.77305090851124,207.25
Bradley Beal,Russell Westbrook,Giannis Antetokounmpo,Brandon Ingram,Stanley Johnson,Isaiah Roby,Bryn Forbes,Isaiah Stewart,20201229,238.70266410775713,256.75
Paul George,Luka Doncic,Giannis Antetokounmpo,Khris Middleton,Maxi Kleber,John Konchar,Carsen Edwards,Harry Giles,20201230,238.66246663332015,257.75
James Harden,Russell Westbrook,Domantas Sabonis,Brandon Ingram,Garrett Temple,Daniel Gafford,Tyrese Maxey,Alex Len,20201231,238.76064640601595,274.75
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,DeMar DeRozan,Jerome Robinson,Denzel Valentine,Bryn Forbes,Daniel Gafford,20210101,238.70811966874084,304.75
Fred VanVleet,Trae Young,Domantas Sabonis,Ben Simmons,Chris Boucher,Gary Clark,Immanuel Quickley,Thon Maker,20210102,238.60768512908044,250.25
Bradley Beal,Russell Westbrook,Anthony Davis,DeMar DeRozan,Paul Millsap,Facundo Campazzo,Tre Jones,Trey Lyles,20210103,238.6663009462379,256.0
James Harden,Luka Doncic,Giannis Antetokounmpo,Darius Bazley,Semi Ojeleye,Wayne Ellington,Terence Davis,Thon Maker,20210104,238.7739285224631,299.75
CJ McCollum,LeBron James,Anthony Davis,Kawhi Leonard,Luke Kennard,Tyler Johnson,Bruce Brown,Reggie Perry,20210105,238.6497885938194,288.75
James Harden,Russell Westbrook,Giannis Antetokounmpo,Terrence Ross,Glenn Robinson III,Jordan Nwora,Brandon Goodwin,Thon Maker,20210106,238.76997484023042,252.0
CJ McCollum,Luka Doncic,Anthony Davis,Ben Simmons,James Johnson,Chris Chiozza,Anfernee Simons,Boban Marjanovic,20210107,238.66617914042837,246.25
James Harden,Russell Westbrook,Giannis Antetokounmpo,Eric Gordon,Ben McLemore,Terence Davis,Langston Galloway,Tacko Fall,20210108,238.76853052696123,232.25
CJ McCollum,Luka Doncic,Domantas Sabonis,Gordon Hayward,Doug McDermott,Trey Burke,Anfernee Simons,Moritz Wagner,20210109,238.6551501238632,283.25
James Harden,LeBron James,Anthony Davis,RJ Barrett,Talen Horton-Tucker,Trey Lyles,Facundo Campazzo,Isaiah Roby,20210110,238.75295989308367,237.0
Bradley Beal,Damian Lillard,Giannis Antetokounmpo,RJ Barrett,Kevin Knox,Stanley Johnson,Jordan Bone,Nathan Knight,20210111,238.72068209287903,251.5
James Harden,LeBron James,Anthony Davis,Caris LeVert,Precious Achiuwa,Gabe Vincent,Yogi Ferrell,Chris Silva,20210112,238.75784784257905,280.25
Paul George,Luka Doncic,Giannis Antetokounmpo,RJ Barrett,Grayson Allen,Kenrich Williams,Chris Chiozza,Jaxson Hayes,20210113,238.70096714362012,318.5
CJ McCollum,Stephen Curry,Domantas Sabonis,Ben Simmons,Miles Bridges,Sterling Brown,TJ McConnell,Harry Giles,20210114,238.6339897362426,298.5
Zach LaVine,Luka Doncic,Giannis Antetokounmpo,Harrison Barnes,Pat Connaughton,Terance Mann,Alex Caruso,Chimezie Metu,20210115,238.70946222927915,287.75
James Harden,Damian Lillard,Kevin Durant,Gordon Hayward,David Nwaba,Mason Jones,Kendrick Nunn,Reggie Perry,20210116,238.7435017183473,313.75
Zach LaVine,Luka Doncic,Domantas Sabonis,RJ Barrett,Edmond Sumner,Ryan Arcidiacono,Facundo Campazzo,Patrick Patterson,20210117,238.7161941513574,271.75
James Harden,Luka Doncic,Giannis Antetokounmpo,Joe Harris,Maurice Harkless,Daniel Gafford,Ryan Arcidiacono,Aron Baynes,20210118,238.76316113938788,246.25
Donovan Mitchell,Shai Gilgeous-Alexander,Brandon Ingram,Will Barton,Zion Williamson,Gary Harris,Facundo Campazzo,Isaiah Hartenstein,20210119,238.52685656995592,219.25
James Harden,Luka Doncic,Kevin Durant,OG Anunoby,Jaden McDaniels,Terence Davis,Cory Joseph,Aron Baynes,20210120,238.76655981193272,325.75
Donovan Mitchell,Stephen Curry,Giannis Antetokounmpo,LeBron James,Kentavious Caldwell-Pope,Georges Niang,DJ Augustin,Udoka Azubuike,20210121,238.63186043594996,262.5
James Harden,Luka Doncic,Julius Randle,Tobias Harris,Obi Toppin,Rajon Rondo,Jaylen Nowell,Isaiah Stewart,20210122,238.75917007952597,280.25
James Harden,Luka Doncic,Kevin Durant,Andrew Wiggins,Kenyon Martin Jr,Boban Marjanovic,Jordan Poole,Cristiano Felicio,20210123,238.75085930179452,246.0
Bradley Beal,Russell Westbrook,Giannis Antetokounmpo,RJ Barrett,Jerome Robinson,Gary Clark,Cassius Winston,Tacko Fall,20210124,238.72857706943006,225.5
James Harden,Luka Doncic,Kevin Durant,Andrew Wiggins,Furkan Korkmaz,Tony Bradley,Brad Wanamaker,Goga Bitadze,20210125,238.73545662009167,293.75
Bradley Beal,Russell Westbrook,Julius Randle,Eric Gordon,JaeSean Tate,Anthony Gill,Brandon Goodwin,Jordan Bell,20210126,238.6849223100213,210.0
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,Harrison Barnes,Abdel Nader,Jordan Bell,Jaylen Nowell,Kevon Looney,20210127,238.74005934295224,304.75
Victor Oladipo,Damian Lillard,Jerami Grant,LeBron James,Eric Paschall,Gabe Vincent,Langston Galloway,Frank Kaminsky,20210128,238.64428011054977,284.0
James Harden,Luka Doncic,Giannis Antetokounmpo,RJ Barrett,Juwan Morgan,Hassan Whiteside,Cory Joseph,Reggie Perry,20210129,238.74345801549708,323.75
Zach LaVine,Luka Doncic,Giannis Antetokounmpo,Jimmy Butler,Precious Achiuwa,Malik Monk,Jordan Poole,Kevon Looney,20210130,238.67786931502297,296.0
Bradley Beal,Paul George,Kevin Durant,Ben Simmons,Yuta Watanabe,Paul Watson,Jordan Bone,Taj Gibson,20210131,238.7306004699309,246.25
Zach LaVine,Luka Doncic,Giannis Antetokounmpo,DeMar DeRozan,Nassir Little,DJ Augustin,Langston Galloway,Moses Brown,20210201,238.68912653332453,246.5
James Harden,Damian Lillard,Kevin Durant,Gary Trent Jr,DeAndre Bembry,Juan Toscano-Anderson,Jordan Bone,Chuma Okeke,20210202,238.76036584550454,269.0
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,RJ Barrett,Sterling Brown,Kenrich Williams,Cory Joseph,Goga Bitadze,20210203,238.718977193065,293.25
Donovan Mitchell,Luka Doncic,Anthony Davis,Andrew Wiggins,Brandon Clarke,Harry Giles,RJ Hampton,Boban Marjanovic,20210204,238.58657421356307,198.0
James Harden,Bradley Beal,Giannis Antetokounmpo,Jerami Grant,Saddiq Bey,ETwaun Moore,Tomas Satoransky,Goga Bitadze,20210205,238.75092005868254,245.0
James Harden,Luka Doncic,Giannis Antetokounmpo,Josh Jackson,Vlatko Cancar,Frank Mason III,Jordan McLaughlin,Norvel Pelle,20210206,238.76036654378947,275.5
Bradley Beal,Russell Westbrook,Jayson Tatum,Kawhi Leonard,Davis Bertans,Terance Mann,Kyle Guy,Taj Gibson,20210207,238.67461561366042,216.0
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,Norman Powell,Devin Vassell,Ben McLemore,Damyean Dotson,JaVale McGee,20210208,238.68269219113176,235.75
James Harden,Stephen Curry,Jayson Tatum,Jaylen Brown,Miye Oni,Kira Lewis Jr,Chris Chiozza,Precious Achiuwa,20210209,238.76401306534,214.5
James Harden,Luka Doncic,Giannis Antetokounmpo,Anthony Edwards,Cody Martin,Kira Lewis Jr,Facundo Campazzo,JaVale McGee,20210210,238.74747698500255,277.5
Fred VanVleet,Stephen Curry,Jayson Tatum,Jimmy Butler,Juan Toscano-Anderson,Max Strus,Dennis Smith Jr,Tacko Fall,20210211,238.63037042605072,257.0
Zach LaVine,Luka Doncic,Giannis Antetokounmpo,Hamidou Diallo,Semi Ojeleye,Nemanja Bjelica,Skylar Mays,Harry Giles,20210212,238.69945357523966,334.75
James Harden,Stephen Curry,Kevin Durant,Andrew Wiggins,Danilo Gallinari,Georges Niang,Brandon Goodwin,Taj Gibson,20210213,238.71649093284756,255.75
Fred VanVleet,Luka Doncic,Giannis Antetokounmpo,Jerami Grant,Cedi Osman,Facundo Campazzo,Dennis Smith Jr,Zeke Nnaji,20210214,238.66129188921786,302.0
Zach LaVine,James Harden,Julius Randle,Ben Simmons,Deni Avdija,Amir Coffey,Brad Wanamaker,Precious Achiuwa,20210215,238.67912486812727,324.5
Devin Booker,James Harden,Giannis Antetokounmpo,Jaylen Brown,John Konchar,Nassir Little,Markus Howard,Isaiah Hartenstein,20210216,238.6645396636258,261.25
Bradley Beal,Damian Lillard,Domantas Sabonis,Jaylen Brown,Furkan Korkmaz,Ben McLemore,Skylar Mays,Precious Achiuwa,20210217,238.7161569094669,312.5
Kyrie Irving,James Harden,Giannis Antetokounmpo,Kyle Kuzma,Talen Horton-Tucker,Andre Iguodala,Quinn Cook,Precious Achiuwa,20210218,238.6723486806526,229.25
Zach LaVine,Stephen Curry,Giannis Antetokounmpo,Khris Middleton,JJ Redick,Ryan Arcidiacono,Terence Davis,Jaxson Hayes,20210219,238.69977548121875,273.5
Bradley Beal,Damian Lillard,Gordon Hayward,Jimmy Butler,Juan Toscano-Anderson,Brad Wanamaker,Justise Winslow,Damian Jones,20210220,238.6997206779641,254.75
Paul George,James Harden,Giannis Antetokounmpo,Norman Powell,Reggie Bullock,Saben Lee,Kyle Guy,Onyeka Okongwu,20210221,238.68961614292846,271.0
Bradley Beal,Luka Doncic,Gordon Hayward,Jimmy Butler,Deni Avdija,Nassir Little,Jevon Carter,Dwight Powell,20210222,238.71669076153984,252.0
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,Buddy Hield,Solomon Hill,Tony Snell,Jaylen Nowell,Boban Marjanovic,20210223,238.71391802184132,292.5
Donovan Mitchell,LeBron James,Domantas Sabonis,Gordon Hayward,Dario Saric,Markieff Morris,Jeff Teague,Kevon Looney,20210224,238.66198892723168,253.25
Bradley Beal,Luka Doncic,Giannis Antetokounmpo,Terrence Ross,Taj Gibson,Boban Marjanovic,Frank Ntilikina,Isaiah Hartenstein,20210225,238.69787868742492,225.25
Zach LaVine,LeBron James,Domantas Sabonis,Jerami Grant,Luke Kornet,Ty Jerome,Edmond Sumner,Kevon Looney,20210226,238.71586374715503,269.0
Bradley Beal,James Harden,Domantas Sabonis,Anthony Edwards,Trey Lyles,Georges Niang,Chasson Randle,Alex Len,20210227,238.6836587983125,258.0
Bradley Beal,LeBron James,Julius Randle,Jerami Grant,Kent Bazemore,Precious Achiuwa,Brad Wanamaker,Gorgui Dieng,20210228,238.70540984998303,267.0
Zach LaVine,James Harden,Domantas Sabonis,Terrence Ross,Denzel Valentine,JJ Redick,Trey Burke,Dwight Powell,20210301,238.6934837298982,263.75
Bradley Beal,LeBron James,Giannis Antetokounmpo,RJ Barrett,Talen Horton-Tucker,PJ Dozier,Terance Mann,Alex Len,20210302,238.70602619180593,229.25
Zach LaVine,James Harden,Domantas Sabonis,Gordon Hayward,Kent Bazemore,JJ Redick,Trey Burke,Jaxson Hayes,20210303,238.70147660415282,309.75
Bradley Beal,Damian Lillard,Giannis Antetokounmpo,Andrew Wiggins,Grant Williams,Cameron Payne,Jordan Poole,Jaxson Hayes,20210304,238.72841051382525,328.25
Bradley Beal,Luka Doncic,Kristaps Porzingis,DeMar DeRozan,Maxi Kleber,Troy Brown Jr,Tre Jones,Willie Cauley-Stein,20210310,238.68114848251417,256.0
Zach LaVine,James Harden,Giannis Antetokounmpo,Andrew Wiggins,Matisse Thybulle,Aleksej Pokusevski,Kira Lewis Jr,Moses Brown,20210311,238.71954855850575,285.0
Bradley Beal,LeBron James,Domantas Sabonis,Kyle Anderson,Doug McDermott,Kenyon Martin Jr,Kira Lewis Jr,Drew Eubanks,20210312,238.68100586967904,211.5
Kyrie Irving,James Harden,Giannis Antetokounmpo,Josh Jackson,Jake Layman,Paul Watson,Edmond Sumner,Henry Ellenson,20210313,238.70908252196918,264.0
Zach LaVine,Damian Lillard,Jayson Tatum,Kawhi Leonard,Darius Miller,Kira Lewis Jr,Amir Coffey,Henry Ellenson,20210314,238.698138924345,246.25
Bradley Beal,James Harden,Giannis Antetokounmpo,Buddy Hield,Sekou Doumbouya,Drew Eubanks,Jevon Carter,Damian Jones,20210315,238.70975212203746,295.25
Zach LaVine,Damian Lillard,Julius Randle,Brandon Ingram,Taj Gibson,Nathan Knight,Quinn Cook,Daniel Gafford,20210316,238.6882734466515,268.75
Bradley Beal,James Harden,Giannis Antetokounmpo,Harrison Barnes,Devin Vassell,Mason Jones,Tyler Johnson,Kevon Looney,20210317,238.699135187364,300.75
Bradley Beal,Damian Lillard,Julius Randle,Gordon Hayward,Jake Layman,Frank Ntilikina,Langston Galloway,Khem Birch,20210318,238.6852582134061,249.5
Kyrie Irving,James Harden,Domantas Sabonis,DeMar DeRozan,Rodney Hood,Lamar Stevens,Trey Burke,Goga Bitadze,20210319,238.7016440938916,254.25
Paul George,DeAaron Fox,Giannis Antetokounmpo,DeMar DeRozan,Matisse Thybulle,Patrick Patterson,Tre Jones,Mfiondu Kabengele,20210320,238.6507152750299,236.25
Kyrie Irving,Luka Doncic,Domantas Sabonis,Jaylen Brown,Garrison Mathews,Daniel Gafford,Ryan Arcidiacono,Isaiah Hartenstein,20210321,238.70352077798012,252.25
Donovan Mitchell,DeAaron Fox,Domantas Sabonis,Kawhi Leonard,Kenyon Martin Jr,Justin Jackson,Quinn Cook,DJ Wilson,20210322,238.63243447373426,260.0
Bradley Beal,James Harden,Julius Randle,Aaron Gordon,Al-Farouq Aminu,Kira Lewis Jr,Gabe Vincent,Moritz Wagner,20210323,238.6930389711645,285.25
Donovan Mitchell,Luka Doncic,Giannis Antetokounmpo,Jerami Grant,Alize Johnson,Reggie Perry,Edmond Sumner,DJ Wilson,20210324,238.6859809613826,283.75
Bradley Beal,Russell Westbrook,Julius Randle,Kyle Kuzma,Juan Toscano-Anderson,Garrison Mathews,Kyle Guy,Chimezie Metu,20210325,238.68472760795925,283.0
Donovan Mitchell,James Harden,Giannis Antetokounmpo,Kyle Kuzma,Thanasis Antetokounmpo,Goga Bitadze,Trey Burke,Tyler Cook,20210326,238.68929799090176,250.5
Bradley Beal,Russell Westbrook,Zion Williamson,Kawhi Leonard,Mike Scott,Thanasis Antetokounmpo,Trey Burke,Boban Marjanovic,20210327,238.69284275972143,298.25
CJ McCollum,Damian Lillard,Pascal Siakam,Kyle Kuzma,John Collins,PJ Dozier,Brandon Goodwin,Onyeka Okongwu,20210328,238.53831839437473,228.75
Kyrie Irving,Russell Westbrook,Giannis Antetokounmpo,Alec Burks,Chandler Hutchison,Jerome Robinson,Ryan Arcidiacono,Tyler Cook,20210329,238.72471798068364,273.25
Devin Booker,Russell Westbrook,Tobias Harris,Kawhi Leonard,JaMychal Green,Dario Saric,Tyrese Maxey,Onyeka Okongwu,20210330,238.62957411970993,235.75
Kyrie Irving,James Harden,Giannis Antetokounmpo,Anthony Edwards,Justin Jackson,Darius Miller,Ryan Arcidiacono,Drew Eubanks,20210331,238.71643511259578,249.25
Kyrie Irving,Russell Westbrook,Tobias Harris,Gordon Hayward,PJ Dozier,Onyeka Okongwu,Tyrese Maxey,Nemanja Bjelica,20210401,238.71056688424653,189.25
Donovan Mitchell,Luka Doncic,Giannis Antetokounmpo,Andrew Wiggins,Naz Reid,James Johnson,Malachi Flynn,Onyeka Okongwu,20210402,238.68362249055596,306.5
Donovan Mitchell,Russell Westbrook,Julius Randle,Ben Simmons,Nassir Little,Aaron Holiday,Matthew Dellavedova,Nemanja Bjelica,20210403,238.68413615477616,269.25
Kyrie Irving,Stephen Curry,Tobias Harris,Kawhi Leonard,Furkan Korkmaz,Paul Reed,Ryan Arcidiacono,DJ Wilson,20210404,238.72096251765174,238.75
Kyrie Irving,Russell Westbrook,Julius Randle,Jerami Grant,DeAndre Bembry,Luka Samanic,Matthew Dellavedova,Tyler Cook,20210405,238.72922200648077,303.25
Paul George,Stephen Curry,Jayson Tatum,Kawhi Leonard,Markieff Morris,DeAndre Bembry,Jeff Teague,Goga Bitadze,20210406,238.61598365463624,305.25
Kyrie Irving,Russell Westbrook,Julius Randle,RJ Barrett,JaMychal Green,Jalen McDaniels,Chris Chiozza,Goga Bitadze,20210407,238.73557083888434,312.5
Devin Booker,Luka Doncic,Kristaps Porzingis,Jimmy Butler,Nassir Little,Rajon Rondo,Matthew Dellavedova,Jahlil Okafor,20210408,238.69373614395238,279.25
Bradley Beal,Russell Westbrook,Zion Williamson,Ben Simmons,Jalen McDaniels,Jordan Nwora,Bryn Forbes,Mamadi Diakite,20210409,238.69717194557657,325.25
Kyrie Irving,Russell Westbrook,Kevin Durant,Andrew Wiggins,Isaac Okoro,Alfonzo McKinnie,Frank Jackson,Daniel Gafford,20210410,238.7324040092171,251.25
Zach LaVine,Luka Doncic,Julius Randle,Brandon Ingram,Patrick Patterson,Brandon Goodwin,Trey Burke,Precious Achiuwa,20210411,238.67112862324416,241.0
Donovan Mitchell,Russell Westbrook,Zion Williamson,Tobias Harris,Matisse Thybulle,Wes Iwundu,Armoni Brooks,DJ Wilson,20210412,238.69618081111693,268.25
Donovan Mitchell,Damian Lillard,Jayson Tatum,Jimmy Butler,Cameron Johnson,Caleb Martin,Amir Coffey,Bismack Biyombo,20210413,238.69180154572183,278.75
Kyrie Irving,Russell Westbrook,Zion Williamson,OG Anunoby,Donta Hall,Jarred Vanderbilt,Amir Coffey,Dewayne Dedmon,20210414,238.72354253829644,297.75
Devin Booker,Stephen Curry,Giannis Antetokounmpo,Andrew Wiggins,Maurice Harkless,Payton Pritchard,Tremont Waters,Luke Kornet,20210415,238.6625562120228,224.75
Kyrie Irving,Luka Doncic,Zion Williamson,Miles Bridges,Danny Green,Paul Watson,Anfernee Simons,Jarred Vanderbilt,20210416,238.71033469270876,321.5
Devin Booker,Russell Westbrook,Giannis Antetokounmpo,Andrew Wiggins,Desmond Bane,Jevon Carter,Frank Jackson,Gorgui Dieng,20210417,238.67163049772458,268.0
Kyrie Irving,Luka Doncic,Zion Williamson,Miles Bridges,Luke Kennard,Dewayne Dedmon,Devin Cannady,Rondae Hollis-Jefferson,20210418,238.68850153557668,258.25
Bradley Beal,Russell Westbrook,Jayson Tatum,Andrew Wiggins,Cameron Johnson,Matisse Thybulle,Tremont Waters,Dewayne Dedmon,20210419,238.68464596493365,279.0
Kyrie Irving,DeAaron Fox,Julius Randle,Miles Bridges,Josh Okogie,Chimezie Metu,Devin Cannady,Donta Hall,20210420,238.7120969441185,213.0
Kyrie Irving,Russell Westbrook,Kristaps Porzingis,Harrison Barnes,Lauri Markkanen,Oshae Brissett,Tyrese Maxey,Damian Jones,20210421,238.7045769638635,328.25
Devin Booker,Luka Doncic,Giannis Antetokounmpo,Kyle Kuzma,Ben McLemore,Tyrese Maxey,Devin Cannady,Willie Cauley-Stein,20210422,238.67213657589255,243.25
Kyrie Irving,Russell Westbrook,Jayson Tatum,Luguentz Dort,Anthony Gill,Amir Coffey,Mychal Mulder,Patrick Patterson,20210423,238.73272275845378,296.5
Caris LeVert,Luka Doncic,Giannis Antetokounmpo,DeMar DeRozan,Denzel Valentine,Nicolo Melli,Jeff Teague,Marc Gasol,20210424,238.65414311804955,278.25
Bradley Beal,Russell Westbrook,Giannis Antetokounmpo,Kevin Huerter,Cedi Osman,Robert Franks,Tyler Johnson,JaKarr Sampson,20210425,238.7228492322721,263.5
Paul George,Luka Doncic,Zion Williamson,OG Anunoby,Justise Winslow,Trey Burke,Amir Coffey,Willie Cauley-Stein,20210426,238.70879683289843,220.0
Kyrie Irving,Luka Doncic,Giannis Antetokounmpo,Andrew Wiggins,Jarred Vanderbilt,Mychal Mulder,Tyler Johnson,Luke Kornet,20210427,238.71284057823263,295.0
Bradley Beal,Russell Westbrook,Julius Randle,RJ Barrett,Jarrell Brantley,Aaron Nesmith,Skylar Mays,Derrick Favors,20210428,238.73211926698107,312.25
Caris LeVert,Stephen Curry,Giannis Antetokounmpo,Brandon Ingram,Yuta Watanabe,Alize Johnson,Aaron Holiday,Boban Marjanovic,20210429,238.65181339089014,267.75
Paul George,Russell Westbrook,Zion Williamson,Joe Ingles,Max Strus,Gabriel Deck,Tyus Jones,Tyler Cook,20210501,238.73131932821633,296.25
Jaylen Brown,Luka Doncic,Julius Randle,Miles Bridges,Isaiah Roby,DeAndre Bembry,Jevon Carter,Boban Marjanovic,20210502,238.64109013843728,255.0
Bradley Beal,Russell Westbrook,Julius Randle,Andrew Wiggins,Taj Gibson,Chasson Randle,Alex Caruso,Marc Gasol,20210503,238.7105963261987,326.25
Paul George,Luka Doncic,Giannis Antetokounmpo,Saddiq Bey,Torrey Craig,Caleb Martin,Mike James,Cody Zeller,20210504,238.70545516328917,266.25
Bradley Beal,Russell Westbrook,Giannis Antetokounmpo,Dillon Brooks,Kenyon Martin Jr,Drew Eubanks,Tyrese Maxey,JaVale McGee,20210505,238.69652792069692,338.25
Paul George,Russell Westbrook,Domantas Sabonis,Andrew Wiggins,Wayne Ellington,Robin Lopez,John Konchar,Willie Cauley-Stein,20210506,238.71261200490858,300.25
Zach LaVine,Luka Doncic,Giannis Antetokounmpo,Cedi Osman,Maurice Harkless,Kira Lewis Jr,DJ Augustin,Frank Kaminsky,20210507,238.7137340635385,270.0
Bradley Beal,Russell Westbrook,Kevin Durant,Tobias Harris,Jaylen Hoard,Jalen Harris,Markus Howard,Harry Giles,20210508,238.71641875684293,329.75
Zach LaVine,Luka Doncic,Anthony Davis,Saddiq Bey,Chimezie Metu,Mfiondu Kabengele,Jordan McLaughlin,Anderson Varejao,20210509,238.72413025949004,270.75
Caris LeVert,Russell Westbrook,Giannis Antetokounmpo,Andrew Wiggins,Wenyen Gabriel,Kelan Martin,John Konchar,Onyeka Okongwu,20210510,238.68738835945854,264.25
Zach LaVine,Luka Doncic,Giannis Antetokounmpo,RJ Barrett,Kelan Martin,Mike James,Frank Ntilikina,Mike Scott,20210511,238.71292222125828,234.0
James Harden,Russell Westbrook,Kevin Durant,James Johnson,Markieff Morris,Cameron Oliver,Mike James,Luke Kornet,20210512,238.7537363168509,275.5
Zach LaVine,Damian Lillard,Giannis Antetokounmpo,Anthony Edwards,Mike Scott,Justin James,Markus Howard,JaVale McGee,20210513,238.69678035767862,311.75
Collin Sexton,Russell Westbrook,Kristaps Porzingis,Buddy Hield,Tyler Cook,Louis King,Justise Winslow,Aron Baynes,20210514,238.66152019106454,318.5
James Harden,LeBron James,Anthony Davis,Evan Fournier,Torrey Craig,Luke Kornet,Tre Jones,Gorgui Dieng,20210515,238.75808504986506,267.25
Kyrie Irving,Russell Westbrook,Anthony Davis,Isaac Okoro,Torrey Craig,Jordan Nwora,Jevon Carter,Onyeka Okongwu,20210516,238.70712917497497,341.5
Bradley Beal,Russell Westbrook,Domantas Sabonis,Evan Fournier,Edmond Sumner,Alex Len,Grant Riller,Nick Richards,20210518,238.68281457122373,208.75
Andrew Wiggins,Stephen Curry,Anthony Davis,LeBron James,Devin Vassell,Patty Mills,Mychal Mulder,Gorgui Dieng,20210519,237.98136221941516,233.0
James Harden,Luka Doncic,Jayson Tatum,Evan Fournier,Jeff Green,Jabari Parker,Tremont Waters,Willie Cauley-Stein,20210522,238.72539855013343,218.5
Bradley Beal,Russell Westbrook,Anthony Davis,Tobias Harris,Tony Snell,Obi Toppin,Frank Ntilikina,Alex Len,20210523,238.62740505989075,214.5
Khris Middleton,Damian Lillard,Giannis Antetokounmpo,Jimmy Butler,Paul Millsap,Nemanja Bjelica,Sam Merrill,Precious Achiuwa,20210524,238.6377272575026,232.25
James Harden,Luka Doncic,Jayson Tatum,Evan Fournier,Jae Crowder,Marc Gasol,Tremont Waters,Willie Cauley-Stein,20210525,238.71117469318247,203.75
Bradley Beal,Russell Westbrook,Julius Randle,Tobias Harris,Royce ONeale,Taj Gibson,Cassius Winston,Anthony Tolliver,20210526,238.6563208899002,209.5
Devin Booker,LeBron James,Giannis Antetokounmpo,Jimmy Butler,Cameron Johnson,Torrey Craig,Gabe Vincent,Precious Achiuwa,20210527,238.64064938220582,199.0
James Harden,Luka Doncic,Julius Randle,Evan Fournier,Taj Gibson,Willie Cauley-Stein,Tyler Johnson,Onyeka Okongwu,20210528,238.72774066520722,244.0
Bradley Beal,Russell Westbrook,Giannis Antetokounmpo,Tobias Harris,Andre Iguodala,Markus Howard,Anfernee Simons,JaVale McGee,20210529,238.69403525614644,272.75
James Harden,Luka Doncic,Kevin Durant,Evan Fournier,Cameron Johnson,Jabari Parker,Amir Coffey,Boban Marjanovic,20210530,238.7416297785296,239.25
Bradley Beal,Russell Westbrook,Tobias Harris,Dillon Brooks,Kyle Anderson,Dwight Howard,Tyus Jones,Robin Lopez,20210531,238.6063846864406,246.5
James Harden,LeBron James,Kevin Durant,Evan Fournier,Blake Griffin,Jabari Parker,Anfernee Simons,Frank Kaminsky,20210601,238.73011889707894,240.0
Bradley Beal,Russell Westbrook,Julius Randle,Tobias Harris,Desmond Bane,Robin Lopez,Tyus Jones,Boban Marjanovic,20210602,238.6935201724288,252.75
Devin Booker,Damian Lillard,Anthony Davis,LeBron James,Rondae Hollis-Jefferson,Frank Kaminsky,Anfernee Simons,Montrezl Harrell,20210603,238.65910804444718,231.75
