SG,G,PF,SF,F,UTIL,PG,C,Date,Predicted,Actual
Donovan Mitchell,Luka Doncic,Anthony Davis,Jayson Tatum,Bruno Caboclo,DeAnthony Melton,Grayson Allen,Drew Eubanks,20191201,238.66333617585633,309.25
Devin Booker,Trae Young,Giannis Antetokounmpo,Buddy Hield,Solomon Hill,Ty Jerome,Jevon Carter,Daniel Gafford,20191202,238.65961517052483,239.0
James Harden,Luka Doncic,Anthony Davis,PJ Tucker,Patrick Patterson,Nicolo Melli,Anfernee Simons,John Henson,20191203,238.82872506403322,313.0
DAngelo Russell,Luka Doncic,Giannis Antetokounmpo,Khris Middleton,Trevor Ariza,Doug McDermott,Jevon Carter,Daniel Gafford,20191204,238.67705838491375,219.0
James Harden,Russell Westbrook,Pascal Siakam,Ben Simmons,Mason Plumlee,Cameron Johnson,Malik Beasley,Ian Mahinmi,20191205,238.78726449908135,296.0
Bradley Beal,LeBron James,Giannis Antetokounmpo,Paul George,Denzel Valentine,Iman Shumpert,Michael Carter-Williams,Jordan Bell,20191206,238.67252822138175,248.5
James Harden,Russell Westbrook,Domantas Sabonis,Ben Simmons,Cedi Osman,Trey Burke,Aaron Holiday,Kyle OQuinn,20191207,238.76807525329684,338.25
Bradley Beal,Luka Doncic,Anthony Davis,Buddy Hield,Vince Carter,Shabazz Napier,Chris Chiozza,Ian Mahinmi,20191208,238.70155076123655,289.25
James Harden,Russell Westbrook,Giannis Antetokounmpo,Kris Dunn,Gordon Hayward,Gary Clark,Luguentz Dort,Vincent Poirier,20191209,238.80817320559643,250.5
Bradley Beal,Trae Young,Tobias Harris,Ben Simmons,Julius Randle,Mario Hezonja,Allonzo Trier,Anthony Tolliver,20191210,238.6350288334244,216.25
James Harden,LeBron James,Anthony Davis,Jordan Clarkson,Cody Martin,Theo Pinson,Shaquille Harrison,Bruno Fernando,20191211,238.84396856326202,292.5
CJ McCollum,Luka Doncic,Jayson Tatum,Ben Simmons,Tobias Harris,Daniel Theis,Matthew Dellavedova,Kyle OQuinn,20191212,237.91860369160057,253.0
James Harden,LeBron James,Giannis Antetokounmpo,Thaddeus Young,Damyean Dotson,Norvel Pelle,Raul Neto,DJ Wilson,20191213,238.83220551534237,288.25
James Harden,Jimmy Butler,Giannis Antetokounmpo,Thaddeus Young,Admiral Schofield,Chris Clemons,Patrick McCaw,John Henson,20191214,238.8430381856904,259.5
Buddy Hield,LeBron James,Anthony Davis,Brandon Ingram,Omari Spellman,Frank Ntilikina,Raul Neto,Norvel Pelle,20191215,238.65369801065566,267.0
James Harden,Russell Westbrook,Giannis Antetokounmpo,Thaddeus Young,Kyle Korver,Ryan Arcidiacono,Elie Okobo,Chris Boucher,20191216,238.84100615122762,269.0
Kawhi Leonard,LeBron James,Paul George,Buddy Hield,DeAndre Hunter,Taj Gibson,Dennis Smith Jr,Ed Davis,20191217,238.67286549138845,213.5
Jimmy Butler,Damian Lillard,Pascal Siakam,Ben Simmons,Jonathan Isaac,Treveon Graham,Nickeil Alexander-Walker,Anthony Tolliver,20191218,238.62475519819404,237.0
James Harden,LeBron James,Giannis Antetokounmpo,Royce ONeale,Rodney McGruder,Marco Belinelli,DeAndre Bembry,Bruno Fernando,20191219,238.82083815889786,246.25
Bradley Beal,Jimmy Butler,Brandon Ingram,Andrew Wiggins,Evan Fournier,Grant Williams,Yogi Ferrell,Chris Silva,20191220,238.630516309404,242.5
James Harden,Trae Young,Giannis Antetokounmpo,Maurice Harkless,Skal Labissiere,Tim Frazier,Trey Burke,Gary Clark,20191221,238.79532952266197,310.75
Jaylen Brown,Kemba Walker,Giannis Antetokounmpo,Paul George,Donte DiVincenzo,Landry Shamet,Malik Beasley,Tacko Fall,20191222,238.56365491341367,239.75
James Harden,Trae Young,Brandon Ingram,Tobias Harris,Damyean Dotson,Trey Lyles,Jordan McLaughlin,Noah Vonleh,20191223,238.76468626165908,333.25
James Harden,LeBron James,Giannis Antetokounmpo,Josh Hart,Maurice Harkless,Malik Beasley,Ky Bowman,Gary Clark,20191225,238.7876500332356,259.0
Bradley Beal,Luka Doncic,Kristaps Porzingis,Andrew Wiggins,Solomon Hill,Rodions Kurucs,Theo Pinson,Taj Gibson,20191226,238.72304029222832,189.75
