PG,SG,SF,PF,C,G,F,UTIL,Date,Prediction,Score
Kevin Huerter,Jordan McRae,Rudy Gay,Isaiah Hartenstein,Domantas Sabonis,DeMar DeRozan,TJ Warren,Lonzo Ball,20200108,300.75,198.0
Darius Garland,Jarrett Culver,Josh Richardson,Robert Covington,Steven Adams,Shabazz Napier,Ben Simmons,Clint Capela,20200109,301.25,236.25
Monte Morris,Tim Hardaway Jr,Danilo Gallinari,Brandon Ingram,Jaxson Hayes,Zach LaVine,Ben Simmons,Steven Adams,20200111,317.5,257.5
Patrick Beverley,Dillon Brooks,DeMar DeRozan,Omari Spellman,Thomas Bryant,DAngelo Russell,Troy Brown Jr,Devin Booker,20200112,306.75,226.0
Coby White,Jarrett Culver,Trevor Ariza,Kevin Love,Jaxson Hayes,Chris Paul,LeBron James,Zach LaVine,20200113,317.75,207.25
Emmanuel Mudiay,Glenn Robinson III,Dillon Brooks,Georges Niang,Tristan Thompson,DAngelo Russell,Khris Middleton,Trae Young,20200114,298.75,213.0
Frank Ntilikina,Donte DiVincenzo,Joe Ingles,Julius Randle,Rudy Gobert,Markelle Fultz,Kawhi Leonard,Wes Iwundu,20200116,287.5,265.0
DeAnthony Melton,Shai Gilgeous-Alexander,Danilo Gallinari,Carmelo Anthony,Dwight Powell,Darius Garland,DeMar DeRozan,Jonas Valanciunas,20200117,310.0,270.5
Jordan McLaughlin,Shai Gilgeous-Alexander,Norman Powell,Jayson Tatum,Dwight Howard,DeAaron Fox,Nemanja Bjelica,Lonzo Ball,20200118,337.75,285.75
Dejounte Murray,Tyler Herro,Doug McDermott,Mason Plumlee,Nikola Jokic,Jimmy Butler,DeMar DeRozan,Kendrick Nunn,20200119,268.75,239.25
Rajon Rondo,Marcus Smart,Norman Powell,Doug McDermott,Rudy Gobert,Dillon Brooks,Ben Simmons,Fred VanVleet,20200122,329.0,247.25
Rajon Rondo,Seth Curry,Tim Hardaway Jr,Davis Bertans,Dwight Howard,Kyrie Irving,Bradley Beal,Luka Doncic,20200123,281.0,272.75
Derrick White,Marcus Smart,Kent Bazemore,DeAndre Hunter,Bam Adebayo,Lonzo Ball,Eric Paschall,Russell Westbrook,20200124,313.75,254.25
Shai Gilgeous-Alexander,Collin Sexton,Andrew Wiggins,Alfonzo McKinnie,Dwight Howard,Rajon Rondo,Ben Simmons,Dennis Schroder,20200125,280.0,209.0
Michael Carter-Williams,Derrick White,Alfonzo McKinnie,PJ Tucker,Bam Adebayo,Luka Doncic,Tim Hardaway Jr,Rudy Gobert,20200127,297.25,242.0
Alec Burks,Damyean Dotson,Josh Hart,Eric Paschall,Boban Marjanovic,Ben Simmons,Bradley Beal,Trae Young,20200128,321.75,189.5
Reggie Jackson,Dennis Schroder,Kris Dunn,Christian Wood,Jonas Valanciunas,Buddy Hield,PJ Tucker,Russell Westbrook,20200129,298.0,280.25
Donovan Mitchell,Cam Reddish,Alfonzo McKinnie,Bojan Bogdanovic,Nikola Jokic,Kemba Walker,Jerami Grant,Patrick Beverley,20200130,303.75,211.25
Tomas Satoransky,Austin Rivers,Khris Middleton,Thon Maker,Jonas Valanciunas,Devin Booker,PJ Tucker,Damian Lillard,20200131,333.0,272.75
Austin Rivers,Donte DiVincenzo,JJ Redick,Giannis Antetokounmpo,Luke Kornet,Eric Gordon,Khris Middleton,Russell Westbrook,20200202,310.75,237.75
Shabazz Napier,Patty Mills,Landry Shamet,Thon Maker,Deandre Ayton,Cory Joseph,Bradley Beal,Kawhi Leonard,20200203,308.5,242.5
Patty Mills,Jrue Holiday,Brandon Ingram,Miles Bridges,Jakob Poeltl,Damian Lillard,Khris Middleton,Cody Zeller,20200204,338.0,229.0
Michael Carter-Williams,Pat Connaughton,Aaron Gordon,Kyle Kuzma,Jahlil Okafor,Elfrid Payton,Giannis Antetokounmpo,Damian Lillard,20200206,324.75,242.0
Brandon Goodwin,Dennis Schroder,Mikal Bridges,Jayson Tatum,Damian Jones,DeAaron Fox,Bradley Beal,Shabazz Napier,20200207,306.25,263.5
TJ McConnell,Malik Beasley,Buddy Hield,Miles Bridges,Nikola Jokic,Terence Davis,Kawhi Leonard,Elfrid Payton,20200208,314.25,299.0
Tyus Jones,Shabazz Napier,Paul George,Glenn Robinson III,Hassan Whiteside,Elfrid Payton,Gary Trent Jr,Andre Drummond,20200209,310.0,251.5
Reggie Jackson,Jordan Clarkson,Joe Harris,Kristaps Porzingis,Dewayne Dedmon,Buddy Hield,Jerami Grant,Nikola Jokic,20200210,310.0,259.5
