PF,SF,F,UTIL,SG,G,C,PG,Date,Predicted,Actual
Brandon Ingram,Luka Doncic,LeBron James,Thon Maker,Marko Guduric,Malcolm Miller,Bobby Portis,Grayson Allen,20191201,228.33227025866398,211.75
Goga Bitadze,Giannis Antetokounmpo,Dwayne Bacon,Ty Jerome,Devin Booker,Trae Young,Daniel Gafford,Malik Monk,20191202,228.05227491655344,179.5
Blake Griffin,Kawhi Leonard,Admiral Schofield,Michael Carter-Williams,James Harden,Troy Daniels,Meyers Leonard,Frank Jackson,20191203,206.59848118940067,193.75
Amile Jefferson,Giannis Antetokounmpo,Luka Doncic,Doug McDermott,Spencer Dinwiddie,Troy Daniels,Vincent Poirier,Jevon Carter,20191204,225.80234477430162,167.75
Cameron Johnson,Ben McLemore,Wayne Ellington,Joel Embiid,James Harden,Russell Westbrook,Ian Mahinmi,Trey Burke,20191205,227.254733548636,253.25
Thon Maker,Giannis Antetokounmpo,Dwayne Bacon,Karl-Anthony Towns,Jaylen Brown,Monte Morris,Jordan Bell,Ryan Arcidiacono,20191206,207.26691937215128,186.5
Alfonzo McKinnie,Ben Simmons,Goga Bitadze,Jae Crowder,James Harden,Russell Westbrook,Tony Bradley,Tyler Johnson,20191207,226.68302525972842,229.0
Noah Vonleh,Luka Doncic,LeBron James,Terance Mann,Bradley Beal,Dwayne Bacon,Daniel Gafford,Theo Pinson,20191208,224.71981258890446,165.0
Grant Williams,Giannis Antetokounmpo,Chris Boucher,Goga Bitadze,James Harden,Devin Booker,John Henson,Michael Carter-Williams,20191209,227.35196291988672,202.0
Skal Labissiere,Carmelo Anthony,Jaylen Hoard,Joel Embiid,Bradley Beal,Trae Young,Anthony Tolliver,Chris Chiozza,20191210,225.47686991975633,185.5
Kenrich Williams,LeBron James,Grant Williams,Cody Martin,James Harden,Dillon Brooks,John Henson,Matthew Dellavedova,20191211,210.0915262618863,237.0
Blake Griffin,Luka Doncic,Torrey Craig,Andre Drummond,Gary Trent Jr,Raul Neto,Markieff Morris,Seth Curry,20191212,204.33056090286868,236.0
Bobby Portis,Giannis Antetokounmpo,Vince Carter,Georges Niang,James Harden,Marko Guduric,Goga Bitadze,Tomas Satoransky,20191213,214.30907271755558,192.75
Darius Bazley,Giannis Antetokounmpo,Marko Guduric,Garrison Mathews,James Harden,Brandon Knight,John Henson,Darius Garland,20191214,206.69531457438868,175.0
Wilson Chandler,LeBron James,Anthony Davis,Gary Harris,Frank Jackson,Trae Young,Caleb Swanigan,Malik Monk,20191215,226.5688509250612,241.5
Dewan Hernandez,Giannis Antetokounmpo,LaMarcus Aldridge,Jevon Carter,James Harden,Anfernee Simons,Skal Labissiere,Matthew Dellavedova,20191216,227.69305690364405,208.25
Vince Carter,LeBron James,Domantas Sabonis,Elie Okobo,Jevon Carter,Trae Young,Cheick Diallo,Cam Reddish,20191217,213.82789448475884,229.0
Semi Ojeleye,Jimmy Butler,Meyers Leonard,Joel Embiid,Derrick Rose,Damian Lillard,Thon Maker,Malik Beasley,20191218,226.0150206586248,218.0
Maurice Harkless,Giannis Antetokounmpo,Allen Crabbe,Jarrett Allen,James Harden,Emmanuel Mudiay,Bruno Fernando,Evan Turner,20191219,226.923725856263,212.0
Maxi Kleber,Jimmy Butler,Mike Muscala,Joel Embiid,Bradley Beal,Malik Beasley,John Henson,Terence Davis,20191220,213.41452394413162,223.5
Keita Bates-Diop,Giannis Antetokounmpo,Julius Randle,Allonzo Trier,James Harden,Tim Frazier,Gary Clark,Chris Clemons,20191221,214.99859620348067,228.25
Anthony Davis,Giannis Antetokounmpo,Vlatko Cancar,Nikola Jokic,Edmond Sumner,Kyle Korver,Mike Muscala,Aaron Holiday,20191222,226.46224411426638,211.0
Serge Ibaka,Alfonzo McKinnie,Noah Vonleh,Trae Young,James Harden,Brandon Knight,Kevon Looney,Kevin Huerter,20191223,225.98786045123776,217.75
Kawhi Leonard,Giannis Antetokounmpo,Stanley Johnson,Avery Bradley,James Harden,ETwaun Moore,Gary Clark,Ky Bowman,20191225,227.49177919056817,224.25
Solomon Hill,Luka Doncic,Kyle Anderson,Rudy Gobert,Bradley Beal,Jarrett Culver,Thon Maker,Emmanuel Mudiay,20191226,226.40553094169405,186.0
Vince Carter,Ben Simmons,DeAndre Hunter,Trae Young,Brandon Goodwin,Deonte Burton,Joel Embiid,George Hill,20191227,225.1345501281324,147.25
Oshae Brissett,Luka Doncic,Kawhi Leonard,Adam Mokoka,James Harden,Carsen Edwards,DJ Wilson,DeAndre Bembry,20191228,227.57305069418516,225.0
Brandon Ingram,Luka Doncic,LeBron James,Nemanja Bjelica,John Konchar,Quinn Cook,Gary Clark,Frank Jackson,20191229,227.35654608841756,191.25
Louis King,Giannis Antetokounmpo,John Collins,Andre Drummond,Troy Brown Jr,Nigel Williams-Goss,DJ Wilson,Jevon Carter,20191230,226.69866332687425,148.25
Kyle OQuinn,Semi Ojeleye,Edmond Sumner,Russell Westbrook,Luka Doncic,James Harden,TJ Leaf,Dante Exum,20191231,225.24015668203677,210.75
Anthony Davis,Giannis Antetokounmpo,LeBron James,Troy Daniels,Alex Caruso,Kyle Korver,Jordan Bell,Anfernee Simons,20200101,227.62034804636173,220.75
Jordan Bell,Kawhi Leonard,Sekou Doumbouya,Louis King,Luka Doncic,Zach LaVine,Alen Smailagic,Theo Pinson,20200102,210.645784125159,211.75
Cheick Diallo,LeBron James,Admiral Schofield,Isaac Bonga,James Harden,Damian Lillard,Anthony Tolliver,Frank Ntilikina,20200103,226.3964228115317,208.75
Kawhi Leonard,Giannis Antetokounmpo,Johnathan Motley,Andre Drummond,Malik Beasley,Cody Martin,Chimezie Metu,Langston Galloway,20200104,226.44575203063906,174.25
Anthony Davis,LeBron James,Noah Vonleh,Alfonzo McKinnie,Devin Booker,Brandon Knight,John Henson,Tyus Jones,20200105,219.95783380779693,249.25
Goga Bitadze,Luka Doncic,Giannis Antetokounmpo,Cody Martin,Kevin Huerter,Tremont Waters,Caleb Swanigan,Malik Monk,20200106,211.51579548290604,204.25
Mike Muscala,LeBron James,Anthony Davis,Troy Daniels,Allonzo Trier,DeAaron Fox,Taj Gibson,Dean Wade,20200107,212.69273883425006,176.0
Doug McDermott,Luka Doncic,Melvin Frazier,Tacko Fall,James Harden,DeMar DeRozan,Taj Gibson,Frank Jackson,20200108,226.83184316668516,207.5
Thabo Sefolosha,Ben Simmons,Anthony Tolliver,Hassan Whiteside,James Harden,Deonte Burton,PJ Tucker,Michael Frazier,20200109,225.98914846848183,136.25
JaKarr Sampson,Luka Doncic,Giannis Antetokounmpo,Elie Okobo,Zach LaVine,Troy Daniels,Nicolo Melli,Josh Magette,20200110,226.76572768985997,189.5
Giannis Antetokounmpo,Luka Doncic,Jayson Tatum,Anthony Tolliver,Frank Jackson,Sterling Brown,DJ Wilson,Nickeil Alexander-Walker,20200111,226.73181793998066,258.0
Cameron Johnson,Kawhi Leonard,Alen Smailagic,Landry Shamet,Bradley Beal,Kyrie Irving,Patrick Patterson,Devonte Graham,20200112,225.2363839112767,171.25
Anthony Tolliver,LeBron James,Matisse Thybulle,Ben Simmons,Zach LaVine,Damian Lillard,Luke Kornet,Alex Caruso,20200113,225.89894117238862,262.0
Dean Wade,Luka Doncic,Alen Smailagic,Allonzo Trier,James Harden,Courtney Lee,Mitchell Robinson,Emmanuel Mudiay,20200114,226.0953300621363,169.75
