PF,SF,F,UTIL,SG,G,C,PG,Date,Predicted,Actual
Grant Williams,Jayson Tatum,Andre Iguodala,Bam Adebayo,Jimmy Butler,Jaylen Brown,Robert Williams,Brad Wanamaker,20200923,225.35640045752015,212.5
Grant Williams,Jayson Tatum,Andre Iguodala,Daniel Theis,Jimmy Butler,Jaylen Brown,Kelly Olynyk,Brad Wanamaker,20200925,206.72495830714553,204.25
Kyle Kuzma,LeBron James,Anthony Davis,Jerami Grant,PJ Dozier,Torrey Craig,Paul Millsap,Rajon Rondo,20200926,222.45465660144606,222.75
Grant Williams,Jayson Tatum,Andre Iguodala,Bam Adebayo,Jimmy Butler,Goran Dragic,Robert Williams,Brad Wanamaker,20200927,222.4390368842243,221.0
Reggie Perry,LeBron James,Anthony Davis,Kentavious Caldwell-Pope,Kawhi Leonard,Quinn Cook,Mfiondu Kabengele,Alex Caruso,20201222,220.2767435494134,129.5
Semi Ojeleye,Sekou Doumbouya,Giannis Antetokounmpo,Joel Embiid,Keljin Blevins,Luka Doncic,Robin Lopez,Markelle Fultz,20201223,224.08799406088906,228.0
KZ Okpala,LeBron James,Giannis Antetokounmpo,Daniel Oturu,Mychal Mulder,Luka Doncic,Chris Silva,Trey Burke,20201225,224.9500613674813,165.0
JaKarr Sampson,David Nwaba,Juwan Morgan,Joel Embiid,James Harden,Russell Westbrook,Trey Lyles,Michael Carter-Williams,20201226,224.6117600591194,225.0
Kostas Antetokounmpo,LeBron James,Giannis Antetokounmpo,Quinn Cook,Devin Booker,Robert Woodard II,Tony Bradley,LaMelo Ball,20201227,225.22553657105124,193.5
Bol Bol,LeBron James,Georges Niang,Talen Horton-Tucker,James Harden,Damian Lillard,Gorgui Dieng,Desmond Bane,20201228,225.32864992510096,200.25
Zeke Nnaji,Jordan Nwora,Giannis Antetokounmpo,Nikola Jokic,Bradley Beal,Ty-Shon Alexander,Isaiah Stewart,Raul Neto,20201229,224.2777799264564,174.5
Jalen McDaniels,LeBron James,Giannis Antetokounmpo,Thanasis Antetokounmpo,Rodney Hood,Luka Doncic,Harry Giles,Rajon Rondo,20201230,224.499189203302,192.5
JaKarr Sampson,DeAndre Bembry,Edmond Sumner,Joel Embiid,James Harden,Russell Westbrook,Vincent Poirier,Raul Neto,20201231,224.17420626953134,191.5
Jordan Nwora,LeBron James,Giannis Antetokounmpo,Nikola Jokic,Mychal Mulder,Terance Mann,Luke Kornet,Jalen Brunson,20210101,224.35317114109282,217.0
Dean Wade,Stanley Johnson,Domantas Sabonis,Joel Embiid,Terrence Ross,Trae Young,Thon Maker,Terence Davis,20210102,223.78930589980627,175.0
Alfonzo McKinnie,LeBron James,Elijah Hughes,Nikola Jokic,Facundo Campazzo,Russell Westbrook,Zeke Nnaji,Desmond Bane,20210103,223.98082985451575,212.5
Maurice Harkless,KZ Okpala,Giannis Antetokounmpo,Vincent Poirier,James Harden,Trae Young,Nick Richards,Jalen Brunson,20210104,224.49600781211333,190.25
Patrick Patterson,LeBron James,Elijah Hughes,Nikola Jokic,RJ Hampton,Damian Lillard,Reggie Perry,Reggie Jackson,20210105,219.29082237212504,203.25
Solomon Hill,Lamar Stevens,Giannis Antetokounmpo,Thanasis Antetokounmpo,James Harden,Stephen Curry,Marques Bolden,Tyrese Maxey,20210106,224.4572526076459,167.5
Dean Wade,LeBron James,Anthony Davis,Alfonzo McKinnie,Anthony Edwards,Luka Doncic,Markieff Morris,Jaylen Nowell,20210107,224.47298282594846,236.0
Isaac Bonga,Amir Coffey,Giannis Antetokounmpo,Bruno Caboclo,James Harden,Stephen Curry,Tacko Fall,Jordan Bone,20210108,224.44538203436207,216.5
Solomon Hill,Nassir Little,Edmond Sumner,Damian Lillard,Donte DiVincenzo,Luka Doncic,Nathan Knight,Trae Young,20210109,222.62268349922374,191.75
Bruno Caboclo,LeBron James,Stanley Johnson,Nikola Jokic,James Harden,Theo Pinson,Moses Brown,Facundo Campazzo,20210110,224.76826839791468,160.25
Jordan Nwora,Abdel Nader,Giannis Antetokounmpo,Deni Avdija,Bradley Beal,Damian Lillard,Damian Jones,Bryn Forbes,20210111,224.17621602333864,195.5
Aleksej Pokusevski,LeBron James,Alfonzo McKinnie,Nikola Jokic,James Harden,Sterling Brown,Bol Bol,Alex Caruso,20210112,224.71029127298644,203.75
Reggie Perry,Kawhi Leonard,Giannis Antetokounmpo,Boban Marjanovic,Malik Monk,Luka Doncic,Nerlens Noel,Cory Joseph,20210113,223.9346529756195,244.5
JaKarr Sampson,Nassir Little,Domantas Sabonis,Nikola Jokic,Caleb Martin,Stephen Curry,Harry Giles,Aaron Holiday,20210114,223.14880353332254,232.75
Nicolo Melli,Aaron Nesmith,Giannis Antetokounmpo,Udoka Azubuike,Zach LaVine,Luka Doncic,Nerlens Noel,Brandon Goodwin,20210115,223.82276211797188,211.75
Rodions Kurucs,Tony Snell,Kevin Durant,Nikola Vucevic,James Harden,Saben Lee,Reggie Perry,Delon Wright,20210116,223.83243034322396,276.0
Tyler Bey,Cassius Stanley,Kelan Martin,Nikola Jokic,Paul George,Luka Doncic,Patrick Patterson,Tyrell Terry,20210117,223.5010717458394,223.0
Jaden McDaniels,Nassir Little,Kevin Durant,Matt Thomas,James Harden,Luka Doncic,Aron Baynes,Bryn Forbes,20210118,223.7645968160523,168.5
Justin Jackson,Brandon Ingram,Darius Miller,Nikola Jokic,Eric Bledsoe,Shai Gilgeous-Alexander,Bol Bol,Kira Lewis Jr,20210119,223.0211697043453,159.5
Mfiondu Kabengele,Josh Green,Trey Lyles,Domantas Sabonis,James Harden,Luka Doncic,Kevon Looney,Aaron Holiday,20210120,223.3574524541546,222.0
Thanasis Antetokounmpo,LeBron James,Nicolo Melli,Giannis Antetokounmpo,Sindarius Thornwell,Stephen Curry,Kevon Looney,Lonzo Ball,20210121,222.8912761061313,188.0
Gary Clark,Kawhi Leonard,DeAndre Bembry,Nikola Jokic,James Harden,Brandon Goodwin,Isaiah Stewart,Terence Davis,20210122,223.97555128074646,205.0
KZ Okpala,Kevin Durant,Alfonzo McKinnie,Nikola Jokic,James Harden,Quinn Cook,Jaxson Hayes,Bruce Brown,20210123,223.90673370481414,188.75
Nassir Little,Kawhi Leonard,Giannis Antetokounmpo,Javonte Green,Bradley Beal,DeAndre Bembry,Onyeka Okongwu,Patrick Beverley,20210124,223.9130812381189,222.5
Markieff Morris,Kevin Durant,Aaron Nesmith,Nikola Jokic,RJ Hampton,Luka Doncic,Gary Clark,Saben Lee,20210125,223.16435690793222,223.25
Juwan Morgan,Kevin Knox,Julius Randle,Tony Snell,Bradley Beal,Russell Westbrook,Jordan Bell,Elfrid Payton,20210126,222.81478564077858,147.5
Juwan Morgan,Robert Woodard II,Giannis Antetokounmpo,Chimezie Metu,Bradley Beal,Luka Doncic,Jalen Smith,Jordan Poole,20210127,223.2307955143756,187.0
Markieff Morris,LeBron James,Nassir Little,Stephen Curry,Gabe Vincent,Damian Lillard,Jalen Smith,Anfernee Simons,20210128,222.868654941457,203.75
Zeke Nnaji,Amir Coffey,Giannis Antetokounmpo,Tyler Johnson,James Harden,Luka Doncic,Reggie Perry,DJ Augustin,20210129,223.02248179995988,209.25
Nicolo Melli,LeBron James,Giannis Antetokounmpo,Rodions Kurucs,Langston Galloway,Luka Doncic,Trey Lyles,Bryn Forbes,20210130,223.0187664681521,196.0
Jarrell Brantley,Kevin Durant,Mfiondu Kabengele,Nikola Jokic,Bradley Beal,Tyler Johnson,Taj Gibson,Reggie Jackson,20210131,223.19931642897564,231.25
Justin Jackson,LeBron James,Giannis Antetokounmpo,Jordan Nwora,Sam Merrill,Luka Doncic,Moses Brown,Langston Galloway,20210201,222.95813000651256,172.75
Isaac Bonga,Kevin Durant,Javonte Green,Mychal Mulder,James Harden,Damian Lillard,Chuma Okeke,Brad Wanamaker,20210202,223.2807810783905,180.75
Semi Ojeleye,Torrey Craig,Giannis Antetokounmpo,Devin Vassell,Bradley Beal,Luka Doncic,Drew Eubanks,Carsen Edwards,20210203,222.82804165380185,239.0
Alfonzo McKinnie,LeBron James,Jarrell Brantley,Nikola Jokic,Keljin Blevins,Luka Doncic,Bruno Fernando,Skylar Mays,20210204,222.6058088698844,164.75
Semi Ojeleye,Kevin Durant,Giannis Antetokounmpo,Langston Galloway,James Harden,Frank Jackson,Moritz Wagner,Frank Mason III,20210205,223.38087056002547,179.5
Dean Wade,Vlatko Cancar,Taj Gibson,Stephen Curry,James Harden,Luka Doncic,Onyeka Okongwu,Brad Wanamaker,20210206,222.536448350292,226.25
Isaac Bonga,Kawhi Leonard,Jayson Tatum,Anthony Gill,Bradley Beal,Buddy Hield,Taj Gibson,Aaron Holiday,20210207,223.24546389371736,184.5
Rodions Kurucs,Darius Miller,Paul Watson,Nikola Jokic,Bradley Beal,Luka Doncic,Aron Baynes,Damyean Dotson,20210208,222.39548148340523,203.5
Rodions Kurucs,Wenyen Gabriel,Matisse Thybulle,Joel Embiid,James Harden,Stephen Curry,Precious Achiuwa,Kyle Guy,20210209,222.70462640459712,178.5
Noah Vonleh,Troy Brown Jr,Giannis Antetokounmpo,Nikola Jokic,James Harden,Trey Burke,Zeke Nnaji,Damyean Dotson,20210210,223.00808926322804,188.5
Sekou Doumbouya,Matisse Thybulle,Precious Achiuwa,Joel Embiid,Anfernee Simons,Stephen Curry,Goga Bitadze,Damian Lillard,20210211,221.4310005210836,216.25
Nemanja Bjelica,LeBron James,Giannis Antetokounmpo,Mfiondu Kabengele,Justin James,Luka Doncic,Luke Kornet,RJ Hampton,20210212,222.86132742674857,258.5
Taj Gibson,JaeSean Tate,KZ Okpala,Trae Young,James Harden,Stephen Curry,Bruno Fernando,Shaquille Harrison,20210213,222.75486767092428,168.25
Zeke Nnaji,Pat Connaughton,Giannis Antetokounmpo,Damian Lillard,Jevon Carter,Luka Doncic,Isaiah Hartenstein,Markus Howard,20210214,222.31492825921407,250.5
Mike Scott,Solomon Hill,Matisse Thybulle,Stephen Curry,Zach LaVine,James Harden,Precious Achiuwa,Elfrid Payton,20210215,222.40163031843525,233.75
Nassir Little,LeBron James,Giannis Antetokounmpo,Javonte Green,Torrey Craig,James Harden,Gorgui Dieng,Terence Davis,20210216,222.97329784049518,236.75
Solomon Hill,Aaron Nesmith,Andre Iguodala,Nikola Jokic,Bradley Beal,Damian Lillard,Moritz Wagner,Chasson Randle,20210217,222.60256678744213,230.5
Markieff Morris,Torrey Craig,Giannis Antetokounmpo,DJ Augustin,Kyrie Irving,James Harden,Precious Achiuwa,Cory Joseph,20210218,222.83003482331407,190.0
Luke Kornet,Abdel Nader,Giannis Antetokounmpo,Joel Embiid,Skylar Mays,Stephen Curry,Daniel Gafford,Damion Lee,20210219,222.41636728182368,254.0
Nassir Little,LeBron James,Abdel Nader,Ryan Arcidiacono,Bradley Beal,Damian Lillard,Damian Jones,Cory Joseph,20210220,222.34338082593308,199.25
Jake Layman,Jabari Parker,Giannis Antetokounmpo,Joel Embiid,Tony Snell,Trae Young,Isaiah Stewart,RJ Hampton,20210221,222.4031115974384,247.5
Juwan Morgan,Rodney Hood,Abdel Nader,Damian Lillard,Zach LaVine,Luka Doncic,Dwight Powell,Gabe Vincent,20210222,222.56759867000932,149.5
James Johnson,Jake Layman,Giannis Antetokounmpo,Trey Burke,Bradley Beal,Luka Doncic,Onyeka Okongwu,Terance Mann,20210223,222.86228388737695,220.25
Kostas Antetokounmpo,LeBron James,Lamar Stevens,Domantas Sabonis,Josh Okogie,Stephen Curry,Markieff Morris,Rajon Rondo,20210224,222.4466908285769,187.75
Obi Toppin,Garrison Mathews,Mike Scott,Giannis Antetokounmpo,Bradley Beal,Luka Doncic,Tony Bradley,Cory Joseph,20210225,222.3825497033199,187.0
KZ Okpala,LeBron James,Rodney Hood,Domantas Sabonis,Kyle Guy,Damian Lillard,Markieff Morris,Payton Pritchard,20210226,222.37469273303483,210.25
Isaac Bonga,Wes Iwundu,Obi Toppin,Nikola Jokic,Justin Jackson,James Harden,JaKarr Sampson,Russell Westbrook,20210227,221.33467578978644,192.0
Grant Williams,LeBron James,Juan Toscano-Anderson,Karl-Anthony Towns,Mason Jones,Russell Westbrook,Killian Tillie,Jaylen Nowell,20210228,222.31059221863765,193.75
Khem Birch,Nassir Little,Domantas Sabonis,Nikola Jokic,Trey Burke,James Harden,Goga Bitadze,Tyler Johnson,20210301,222.19842950643897,241.75
Jared Dudley,LeBron James,Anthony Gill,Giannis Antetokounmpo,Frank Ntilikina,Russell Westbrook,Drew Eubanks,Gabe Vincent,20210302,222.33439752237933,211.75
Stanley Johnson,Wes Iwundu,Sekou Doumbouya,Damian Lillard,Zach LaVine,James Harden,Daniel Gafford,Tomas Satoransky,20210303,222.37032378944465,208.0
Zeke Nnaji,Nassir Little,Giannis Antetokounmpo,Nikola Jokic,Bradley Beal,Nickeil Alexander-Walker,Isaiah Hartenstein,Jeff Teague,20210304,222.792383219635,243.75
Yuta Watanabe,Justin James,Giannis Antetokounmpo,Daniel Gafford,Zach LaVine,James Harden,Aleksej Pokusevski,Jeff Teague,20210311,222.59373927278966,198.75
Wenyen Gabriel,LeBron James,Miye Oni,Nikola Jokic,Sindarius Thornwell,Russell Westbrook,Mike Scott,Troy Brown Jr,20210312,222.2070845549719,172.5
Yuta Watanabe,Edmond Sumner,Giannis Antetokounmpo,Brandon Goodwin,Kyrie Irving,James Harden,Onyeka Okongwu,Bryn Forbes,20210313,222.35679590358237,215.25
Luke Kornet,Jayson Tatum,Lamar Stevens,Stephen Curry,Carsen Edwards,Damian Lillard,Patrick Patterson,Kendrick Nunn,20210314,221.8719643805353,189.25
Sekou Doumbouya,Deividas Sirvydis,Giannis Antetokounmpo,Julius Randle,Trey Burke,James Harden,Patrick Patterson,Aaron Holiday,20210315,221.96447490923623,243.5
Grant Williams,LeBron James,Georges Niang,Damian Lillard,Frank Ntilikina,Trae Young,Chris Silva,Kira Lewis Jr,20210316,222.12004681561942,211.0
Sekou Doumbouya,Jimmy Butler,Giannis Antetokounmpo,Carsen Edwards,Jeff Teague,James Harden,Bismack Biyombo,Bryn Forbes,20210317,222.3454186552172,199.25
Frank Kaminsky,LeBron James,Obi Toppin,Russell Westbrook,Miye Oni,Damian Lillard,Onyeka Okongwu,Alex Caruso,20210318,222.09899278703838,218.25
KZ Okpala,Jimmy Butler,Jarrett Culver,Damian Lillard,John Konchar,James Harden,Naz Reid,Edmond Sumner,20210319,221.92282135179084,171.75
Paul Reed,Kawhi Leonard,Giannis Antetokounmpo,Caleb Martin,Mychal Mulder,DeAaron Fox,Vincent Poirier,Shake Milton,20210320,222.11582051957384,168.0
Semi Ojeleye,Isaac Bonga,Justin Jackson,James Harden,Kyrie Irving,Luka Doncic,Chuma Okeke,Trey Burke,20210321,221.68336158186884,205.75
Luke Kornet,Kawhi Leonard,Pascal Siakam,Karl-Anthony Towns,Justin Jackson,DeAaron Fox,Onyeka Okongwu,Adam Mokoka,20210322,222.13896759839426,221.5
Obi Toppin,Ben Simmons,Damion Lee,James Harden,Rodney Hood,Russell Westbrook,Jaxson Hayes,Ty-Shon Alexander,20210323,221.80353992548567,196.0
Sekou Doumbouya,Jarrell Brantley,Giannis Antetokounmpo,Luka Doncic,Brodric Thomas,Ben McLemore,Karl-Anthony Towns,Saben Lee,20210324,221.03392986332494,143.75
Chimezie Metu,Nicolas Batum,Julius Randle,Damian Lillard,DaQuan Jeffries,Russell Westbrook,Drew Eubanks,Anfernee Simons,20210325,221.75258398749324,202.25
Alfonzo McKinnie,Max Strus,Giannis Antetokounmpo,Karl-Anthony Towns,Skylar Mays,James Harden,Nathan Knight,Kira Lewis Jr,20210326,221.65871480108814,206.75
Obi Toppin,Deividas Sirvydis,Miye Oni,Russell Westbrook,Bradley Beal,Troy Brown Jr,Karl-Anthony Towns,Shake Milton,20210327,220.76549730805198,198.5
Nathan Knight,Vlatko Cancar,Stanley Johnson,Nikola Jokic,Will Barton,Damian Lillard,Zeke Nnaji,Trae Young,20210328,220.82662176943484,196.75
Yuta Watanabe,Luka Doncic,Maurice Harkless,Russell Westbrook,Kyrie Irving,Ryan Arcidiacono,Mamadi Diakite,Edmond Sumner,20210329,221.95797716779268,242.25
Chandler Hutchison,Jerome Robinson,Paul Reed,Nikola Jokic,PJ Dozier,Russell Westbrook,Alex Len,Trae Young,20210330,220.61165130661195,228.75
Nemanja Bjelica,Luka Doncic,CJ Elleby,Gabe Vincent,Kyrie Irving,James Harden,Drew Eubanks,DJ Augustin,20210331,221.67453942531318,191.5
Nemanja Bjelica,Isaac Bonga,Deividas Sirvydis,Nikola Jokic,Kyrie Irving,Russell Westbrook,Kevon Looney,Facundo Campazzo,20210401,221.47515396875323,188.5
Devontae Cacok,Luka Doncic,Giannis Antetokounmpo,Karl-Anthony Towns,Caleb Martin,Tremont Waters,Kevon Looney,Jordan McLaughlin,20210402,221.84274962213016,219.25
Maurice Harkless,Luka Doncic,Josh Green,Russell Westbrook,Gabe Vincent,Damian Lillard,Harry Giles,Anfernee Simons,20210403,221.3661936895905,203.0
Alfonzo McKinnie,Troy Brown Jr,Rayjon Tucker,Nikola Jokic,Kyrie Irving,Stephen Curry,JaVale McGee,DeAnthony Melton,20210404,221.240003166129,212.75
Sekou Doumbouya,Deividas Sirvydis,Jarrett Culver,Russell Westbrook,Kyrie Irving,James Harden,DJ Wilson,Matthew Dellavedova,20210405,221.37450297501363,179.5
JaKarr Sampson,Wenyen Gabriel,Kelan Martin,Nikola Jokic,Seth Curry,Stephen Curry,Joel Embiid,Jeff Teague,20210406,220.33070911978444,215.25
Isaac Bonga,Luka Doncic,Julius Randle,Russell Westbrook,PJ Dozier,Quinndary Weatherspoon,Onyeka Okongwu,Tre Jones,20210407,221.56676108019656,230.25
Andre Iguodala,Luka Doncic,Thanasis Antetokounmpo,Elijah Hughes,Devin Booker,Damian Lillard,Ersan Ilyasova,Theo Maledon,20210408,221.15510130996685,176.25
Rodions Kurucs,Troy Brown Jr,Paul Reed,Russell Westbrook,Axel Toupane,Stephen Curry,Karl-Anthony Towns,Facundo Campazzo,20210409,220.12545049436062,236.0
Sekou Doumbouya,Miye Oni,Georges Niang,Russell Westbrook,Kyrie Irving,Stephen Curry,Devontae Cacok,DeAndre Bembry,20210410,221.24056636612826,212.75
Semi Ojeleye,Luka Doncic,Zeke Nnaji,Karl-Anthony Towns,Jarrett Culver,Rodney Hood,Nikola Jokic,Frank Ntilikina,20210411,220.56103749324936,178.0
Paul Reed,Luka Doncic,Wes Iwundu,Russell Westbrook,Garrison Mathews,Stephen Curry,DJ Wilson,Mychal Mulder,20210412,221.03313154844665,225.0
Nathan Knight,Kyle Kuzma,Miye Oni,Jimmy Butler,Donovan Mitchell,Damian Lillard,Nemanja Bjelica,Amir Coffey,20210413,221.27451045628848,178.5
PJ Tucker,Max Strus,KZ Okpala,Russell Westbrook,Kyrie Irving,Luka Doncic,Drew Eubanks,Amir Coffey,20210414,221.22759630002008,253.25
Kostas Antetokounmpo,PJ Tucker,Alfonzo McKinnie,Giannis Antetokounmpo,Jevon Carter,Stephen Curry,Kevon Looney,DeAaron Fox,20210415,220.13654734283296,209.0
Robert Franks,Luka Doncic,Obi Toppin,Nikola Jokic,Kyrie Irving,Frank Ntilikina,Precious Achiuwa,Immanuel Quickley,20210416,221.5034553298651,181.75
Giannis Antetokounmpo,John Konchar,Semi Ojeleye,Russell Westbrook,Denzel Valentine,Stephen Curry,Frank Kaminsky,Saben Lee,20210417,221.38534553789694,235.5
Jake Layman,Luka Doncic,Jarrett Culver,Karl-Anthony Towns,James Nunnally,DeAaron Fox,Willie Cauley-Stein,Brad Wanamaker,20210418,221.03462051748284,178.5
Grant Williams,Miye Oni,Jayson Tatum,Joel Embiid,Damion Lee,Russell Westbrook,Devontae Cacok,Tyus Jones,20210419,221.14430840293602,205.5
Chimezie Metu,Kevin Knox,Julius Randle,Karl-Anthony Towns,Kyrie Irving,Skylar Mays,Onyeka Okongwu,Elfrid Payton,20210420,221.45323163994706,209.5
Kelan Martin,Elijah Hughes,Garrison Mathews,Nikola Jokic,Kyrie Irving,Russell Westbrook,Killian Tillie,Jevon Carter,20210421,221.2579994421779,199.5
Sekou Doumbouya,Wenyen Gabriel,Jayson Tatum,Giannis Antetokounmpo,Aaron Nesmith,Luka Doncic,Nick Richards,Adam Mokoka,20210422,221.07978750198188,197.0
Anthony Gill,Vlatko Cancar,Shaquille Harrison,Nikola Jokic,Kyrie Irving,Russell Westbrook,Alen Smailagic,Carsen Edwards,20210423,221.28822510292167,200.75
Anthony Tolliver,Mason Jones,Zion Williamson,Nikola Jokic,Gabe Vincent,Luka Doncic,Bol Bol,Markus Howard,20210424,221.09940984812937,180.5
JaKarr Sampson,Nassir Little,Lamar Stevens,Giannis Antetokounmpo,Bradley Beal,Russell Westbrook,Rondae Hollis-Jefferson,Aaron Holiday,20210425,221.22427088103555,180.25
Anthony Tolliver,Vlatko Cancar,Wenyen Gabriel,Nikola Jokic,Paul George,Luka Doncic,Frank Kaminsky,DeAndre Bembry,20210426,221.13399039166768,165.75
Stanley Johnson,DeAndre Bembry,Jarred Vanderbilt,Giannis Antetokounmpo,Romeo Langford,Luka Doncic,Willie Cauley-Stein,Stephen Curry,20210427,220.15578717101377,222.25
Rondae Hollis-Jefferson,Miye Oni,Wenyen Gabriel,Nikola Jokic,Paul George,Russell Westbrook,Killian Tillie,Kira Lewis Jr,20210428,221.06583918758142,217.75
Jarred Vanderbilt,Alize Johnson,Zion Williamson,Giannis Antetokounmpo,Jalen Harris,Stephen Curry,JaKarr Sampson,DeAndre Bembry,20210429,220.8294293115678,214.25
Mfiondu Kabengele,Luka Doncic,Al-Farouq Aminu,Amida Brimah,Paul George,Russell Westbrook,Bismack Biyombo,Tyus Jones,20210501,221.33040579485709,257.0
Yuta Watanabe,Kevin Knox,Julius Randle,Joel Embiid,Gabe Vincent,Luka Doncic,Boban Marjanovic,Ty Jerome,20210502,220.96232667171702,224.0
Rondae Hollis-Jefferson,Jarrell Brantley,Zion Williamson,Nikola Jokic,George Hill,Russell Westbrook,TJ Leaf,Patty Mills,20210503,221.01214381733755,201.75
Andre Iguodala,Max Strus,Jaylen Hoard,Giannis Antetokounmpo,Gabe Vincent,Luka Doncic,Damian Jones,Stephen Curry,20210504,220.38731479602188,242.25
Jayson Tatum,Kris Dunn,Avery Bradley,Giannis Antetokounmpo,Tyrese Maxey,Russell Westbrook,Bol Bol,George Hill,20210505,221.27691299844332,235.75
Anthony Gill,Luka Doncic,Alfonzo McKinnie,Kevin Durant,John Konchar,Russell Westbrook,Alen Smailagic,Mychal Mulder,20210506,221.07756901352093,216.75
Grant Williams,Josh Green,Mike Scott,Giannis Antetokounmpo,Zach LaVine,Luka Doncic,Rondae Hollis-Jefferson,Brad Wanamaker,20210507,221.19128885697822,171.25
Yuta Watanabe,Rayjon Tucker,CJ Elleby,Nikola Jokic,Patty Mills,Russell Westbrook,TJ Leaf,Kyrie Irving,20210508,220.46646210573306,211.75
Anthony Davis,Tyler Bey,Justin James,Karl-Anthony Towns,Josh Okogie,Luka Doncic,Ed Davis,Jordan McLaughlin,20210509,221.2172690549311,209.75
Nassir Little,Damyean Dotson,PJ Tucker,Giannis Antetokounmpo,Garrison Mathews,Russell Westbrook,Drew Eubanks,Damian Lillard,20210510,220.47661455653696,201.5
Anthony Tolliver,Nate Hinton,Vlatko Cancar,Nikola Jokic,Jahmius Ramsey,Luka Doncic,Frank Kaminsky,Stephen Curry,20210511,220.45281571428583,140.0
Grant Williams,Jarrell Brantley,Nicolo Melli,Kristaps Porzingis,James Harden,Russell Westbrook,Onyeka Okongwu,Tyler Johnson,20210512,221.30506745756523,200.0
Giannis Antetokounmpo,Justin James,Anthony Tolliver,Nikola Jokic,Gabe Vincent,Damian Lillard,Taj Gibson,Grant Riller,20210513,221.17611552377957,257.25
Zeke Nnaji,Robert Woodard II,Patrick Patterson,Nikola Jokic,Delon Wright,Russell Westbrook,Anderson Varejao,Shaquille Harrison,20210514,221.18416314280634,203.0
Jabari Parker,Jake Layman,Grant Williams,Anthony Davis,James Harden,LeBron James,Goga Bitadze,Jevon Carter,20210515,221.17188659087344,213.25
Zeke Nnaji,Keita Bates-Diop,Mamadi Diakite,Nikola Jokic,Skylar Mays,Russell Westbrook,Reggie Perry,LaMelo Ball,20210516,220.58763463063636,228.75
Semi Ojeleye,Anthony Gill,Caleb Martin,Domantas Sabonis,Bradley Beal,Russell Westbrook,Nick Richards,Aaron Holiday,20210518,221.1355541136811,189.0
Keldon Johnson,Rudy Gay,Kent Bazemore,Anthony Davis,Devin Vassell,Stephen Curry,Drew Eubanks,Jordan Poole,20210519,212.26258775717133,207.75
Nicolo Melli,Kevin Durant,Andre Iguodala,Grant Williams,James Harden,Luka Doncic,Willie Cauley-Stein,Rajon Rondo,20210522,221.27004330974646,221.0
TJ Leaf,Andre Iguodala,Zeke Nnaji,Giannis Antetokounmpo,Bryn Forbes,Damian Lillard,Nikola Jokic,Anfernee Simons,20210524,216.60122681386665,245.0
Jabari Parker,LeBron James,Reggie Perry,Alize Johnson,James Harden,Luka Doncic,Marc Gasol,Alex Caruso,20210525,221.2516608676004,185.0
Obi Toppin,Garrison Mathews,Julius Randle,Joel Embiid,Isaiah Joe,Russell Westbrook,Nerlens Noel,Tyus Jones,20210526,220.71729211340738,135.75
Mamadi Diakite,Torrey Craig,Shaquille Harrison,Giannis Antetokounmpo,Bryn Forbes,LeBron James,Nikola Jokic,Markus Howard,20210527,217.71032978476273,200.0
Obi Toppin,Romeo Langford,Bruce Brown,Julius Randle,James Harden,Luka Doncic,Onyeka Okongwu,Immanuel Quickley,20210528,221.14129856745575,214.75
Mamadi Diakite,Vlatko Cancar,Zeke Nnaji,Giannis Antetokounmpo,George Hill,Russell Westbrook,Alex Len,Damian Lillard,20210529,220.2823016047901,198.25
Grant Williams,Kevin Durant,Kris Dunn,Solomon Hill,James Harden,Luka Doncic,Nathan Knight,Patrick Beverley,20210530,221.2917314169922,190.5
Georges Niang,Isaac Bonga,Matisse Thybulle,Joel Embiid,Bradley Beal,Russell Westbrook,Rui Hachimura,Tyrese Maxey,20210531,220.17419888668178,225.0
Alfonzo McKinnie,Kevin Durant,Grant Williams,Jayson Tatum,James Harden,Langston Galloway,Blake Griffin,Tyler Johnson,20210601,220.98468417870723,210.0
Paul Reed,Luka Doncic,Chandler Hutchison,Kawhi Leonard,Matt Thomas,Russell Westbrook,Dwight Powell,Tyus Jones,20210602,220.9545337088139,198.75
Nassir Little,Torrey Craig,Mikal Bridges,Nikola Jokic,Devin Booker,Damian Lillard,Paul Millsap,Talen Horton-Tucker,20210603,220.98694116967215,239.0
Solomon Hill,Kawhi Leonard,Matisse Thybulle,Joel Embiid,Shake Milton,Luka Doncic,Daniel Oturu,Rajon Rondo,20210606,220.94688611167308,241.0
Bol Bol,Kevin Durant,Alize Johnson,Giannis Antetokounmpo,Kyrie Irving,Jeff Teague,Reggie Perry,Bryn Forbes,20210607,221.06426818581107,170.25
Thanasis Antetokounmpo,Kevin Durant,Miye Oni,Giannis Antetokounmpo,Kyrie Irving,Landry Shamet,Ivica Zubac,Patrick Beverley,20210610,221.04650411727428,185.25
Dario Saric,Shaquille Harrison,Vlatko Cancar,Nikola Jokic,George Hill,Trae Young,Joel Embiid,Austin Rivers,20210611,216.41951590245,209.75
Jeff Green,Kevin Durant,Thanasis Antetokounmpo,Giannis Antetokounmpo,Shaquille Harrison,Torrey Craig,Nikola Jokic,Chris Chiozza,20210613,219.31721473964328,184.75
Georges Niang,Miye Oni,Solomon Hill,Joel Embiid,Donovan Mitchell,Trae Young,Ivica Zubac,Reggie Jackson,20210616,220.87880043656662,209.5
