PG,SG,SF,PF,C,G,F,UTIL,Date,Prediction,Score
Devonte Graham,Rodney Hood,Josh Hart,Frank Kaminsky,Andre Drummond,Derrick Rose,Brandon Ingram,Damian Lillard,20191028,309,277.5
Delon Wright,Danny Green,Dorian Finney-Smith,Maxi Kleber,Dwight Howard,Trae Young,LeBron James,Luka Doncic,20191029,287.75,178.5
Bryn Forbes,Josh Hart,Brandon Ingram,Montrezl Harrell,Bam Adebayo,Kendrick Nunn,LaMarcus Aldridge,Dejounte Murray,20191031,297.5,203.5
George Hill,Spencer Dinwiddie,Bojan Bogdanovic,PJ Tucker,Tristan Thompson,Kyrie Irving,Bobby Portis,Russell Westbrook,20191101,321.25,242.75
Damian Lillard,CJ McCollum,Damion Lee,Dario Saric,Aron Baynes,Kyrie Irving,OG Anunoby,Cody Zeller,20191102,313,247.75
Isaiah Thomas,Langston Galloway,Brandon Ingram,Moritz Wagner,Aron Baynes,Damian Lillard,Al Horford,Andre Drummond,20191104,325,323.25
Patty Mills,Justin Holiday,Will Barton,Meyers Leonard,Anthony Davis,Tyler Herro,LeBron James,Kemba Walker,20191105,312,245
Donte DiVincenzo,Furkan Korkmaz,Marcus Morris,Maxi Kleber,Andre Drummond,Isaiah Thomas,Al Horford,Luka Doncic,20191106,326.5,200.25
Patty Mills,Patrick Beverley,Jaylen Brown,Montrezl Harrell,Aron Baynes,Jimmy Butler,Gordon Hayward,Damian Lillard,20191107,318.5,256.5
Anfernee Simons,Garrett Temple,Furkan Korkmaz,Giannis Antetokounmpo,Al Horford,Will Barton,Marcus Morris,LeBron James,20191108,337.5,272.75
Alec Burks,Zach LaVine,Marvin Williams,Brandon Ingram,Nerlens Noel,DAngelo Russell,Hamidou Diallo,Luka Doncic,20191109,307.5,242.25
Avery Bradley,Dwayne Bacon,TJ Warren,Doug McDermott,Domantas Sabonis,Eric Bledsoe,Jonathan Isaac,Giannis Antetokounmpo,20191110,302.25,263.75
Alec Burks,DAngelo Russell,Jarrett Culver,Gorgui Dieng,Jahlil Okafor,James Harden,Montrezl Harrell,Clint Capela,20191111,336.75,280
Langston Galloway,Frank Ntilikina,Harrison Barnes,Jabari Parker,Hassan Whiteside,Luke Kennard,Domantas Sabonis,Jamal Murray,20191112,314.25,239
