PG,SG,SF,PF,C,G,F,UTIL,Date,Salary,FPTS
Monte Morris,Jamal Murray,Kentavious Caldwell-Pope,Anthony Davis,Dwight Howard,LeBron James,Danny Green,Rajon Rondo,20200918,49300,242.0
Marcus Smart,Tyler Herro,Grant Williams,Jayson Tatum,Kelly Olynyk,Jaylen Brown,Duncan Robinson,Bam Adebayo,20200919,49100,271.5
Rajon Rondo,Alex Caruso,Danny Green,Anthony Davis,Nikola Jokic,Monte Morris,Kentavious Caldwell-Pope,Jamal Murray,20200920,49500,256.75
Jamal Murray,Torrey Craig,Kentavious Caldwell-Pope,Jerami Grant,Nikola Jokic,Monte Morris,LeBron James,Alex Caruso,20200922,49500,271.5
Goran Dragic,Tyler Herro,Jimmy Butler,Gordon Hayward,Robert Williams,Jaylen Brown,Andre Iguodala,Kemba Walker,20200923,49800,259.5
Rajon Rondo,Jamal Murray,Torrey Craig,Anthony Davis,Dwight Howard,Kentavious Caldwell-Pope,LeBron James,Monte Morris,20200924,49300,263.75
Marcus Smart,Jaylen Brown,Jimmy Butler,Jayson Tatum,Daniel Theis,Duncan Robinson,Solomon Hill,Andre Iguodala,20200925,48600,268.0
Jamal Murray,Alex Caruso,Jerami Grant,Kyle Kuzma,Nikola Jokic,Monte Morris,LeBron James,Dwight Howard,20200926,50000,278.0
Marcus Smart,Duncan Robinson,Jaylen Brown,Grant Williams,Bam Adebayo,Jimmy Butler,Andre Iguodala,Tyler Herro,20200927,49400,277.75
Dennis Schroder,Paul George,Caris LeVert,Nicolas Batum,Ivica Zubac,Stephen Curry,Montrezl Harrell,James Wiseman,20201222,48700,294.75
Darius Garland,Terry Rozier,Khris Middleton,Brandon Ingram,Bam Adebayo,Malcolm Brogdon,Harrison Barnes,Evan Fournier,20201223,49800,391.25
Kyrie Irving,Duncan Robinson,Khris Middleton,Nicolas Batum,Zion Williamson,Goran Dragic,Bobby Portis,James Wiseman,20201225,49100,341.25
James Harden,Terrence Ross,Jae Crowder,PJ Washington,Andre Drummond,Darius Garland,Chris Boucher,Hassan Whiteside,20201226,49500,378.25
Elfrid Payton,Raul Neto,Rudy Gay,Brandon Ingram,Andre Drummond,Lonzo Ball,Julius Randle,Wendell Carter Jr,20201227,49500,384.25
Mike Conley,Delon Wright,LeBron James,Jerami Grant,Nikola Jokic,Gary Trent Jr,Kyle Anderson,Josh Jackson,20201228,50000,370.5
Kendrick Nunn,Tyrese Haliburton,Reggie Bullock,Julius Randle,Andre Drummond,Kyle Lowry,Tobias Harris,Darius Garland,20201229,49800,358.0
Dejounte Murray,Tyler Herro,Jaylen Brown,Miles Bridges,Bam Adebayo,LaMelo Ball,Kevin Durant,Bogdan Bogdanovic,20201230,49200,396.0
Fred VanVleet,Shake Milton,Josh Hart,Harrison Barnes,Richaun Holmes,Victor Oladipo,Domantas Sabonis,Lonzo Ball,20201231,49000,332.5
Derrick Rose,Keldon Johnson,Kyle Anderson,Bobby Portis,Derrick Favors,Luka Doncic,Giannis Antetokounmpo,Saddiq Bey,20210101,49800,352.25
Malcolm Brogdon,Eric Bledsoe,Tobias Harris,Chris Boucher,Clint Capela,Terry Rozier,Gordon Hayward,Terrence Ross,20210102,49700,378.0
Kyrie Irving,Malik Beasley,Royce ONeale,Bojan Bogdanovic,Thomas Bryant,Stephen Curry,Davis Bertans,Jalen Brunson,20210103,49200,375.5
Malcolm Brogdon,Derrick Rose,Justin Holiday,Julius Randle,Robert Williams,RJ Barrett,Aaron Gordon,DeAndre Hunter,20210104,48900,363.0
Patty Mills,DAngelo Russell,Nicolas Batum,Jarred Vanderbilt,Jarrett Allen,Patrick Beverley,Kawhi Leonard,Nikola Jokic,20210105,48700,395.5
Coby White,Bradley Beal,Kevin Huerter,Gordon Hayward,Richaun Holmes,Tyrese Haliburton,Danny Green,Shai Gilgeous-Alexander,20210106,49400,399.75
Luka Doncic,Joe Harris,Anthony Edwards,Dorian Finney-Smith,Jonas Valanciunas,Shake Milton,Cedi Osman,Caris LeVert,20210107,49500,360.5
Donovan Mitchell,Zach LaVine,Jaylen Brown,Royce ONeale,Chris Boucher,Ben McLemore,Jeff Green,Caris LeVert,20210108,49100,376.5
LaMelo Ball,Damyean Dotson,Cam Reddish,Bobby Portis,Domantas Sabonis,Trey Burke,Jimmy Butler,Nikola Vucevic,20210109,49300,400.75
Patty Mills,Zach LaVine,Talen Horton-Tucker,Kevin Durant,Draymond Green,Donovan Mitchell,Hamidou Diallo,LaMarcus Aldridge,20210110,50000,346.0
Brandon Goodwin,Bradley Beal,Kevin Knox,Pascal Siakam,Robin Lopez,CJ McCollum,Chris Boucher,Richaun Holmes,20210111,49300,349.75
Tyler Herro,Andrew Wiggins,Andre Iguodala,Kevin Durant,Nikola Jokic,Aaron Holiday,Isaac Okoro,Myles Turner,20210112,49600,372.75
Luka Doncic,Gary Trent Jr,Kawhi Leonard,James Johnson,Jusuf Nurkic,Nickeil Alexander-Walker,Buddy Hield,Brandon Clarke,20210113,49500,370.0
Stephen Curry,Terry Rozier,Sterling Brown,JaeSean Tate,Nikola Jokic,Devin Vassell,Chris Boucher,Shake Milton,20210114,47900,366.75
Immanuel Quickley,Luke Kennard,Isaac Okoro,Semi Ojeleye,Andre Drummond,Coby White,Khris Middleton,Zach LaVine,20210115,48800,350.25
James Harden,Norman Powell,Jerami Grant,Kevin Durant,Dwight Howard,Mason Jones,Gary Trent Jr,Clint Capela,20210116,50000,389.5
Eric Bledsoe,Jordan Clarkson,Marcus Morris,Thaddeus Young,Goga Bitadze,DeAaron Fox,Lauri Markkanen,Luka Doncic,20210117,48600,361.25
Derrick Rose,Kevin Huerter,Rodney Hood,DeAndre Hunter,DeAndre Jordan,Zach LaVine,Rudy Gay,Giannis Antetokounmpo,20210118,50000,336.0
Monte Morris,Donovan Mitchell,Will Barton,Paul Millsap,Rudy Gobert,Luguentz Dort,Zion Williamson,Jordan Clarkson,20210119,49700,298.0
Dejounte Murray,Paul George,Jerami Grant,Jaden McDaniels,Deandre Ayton,Kendrick Nunn,Daniel Theis,Marcus Smart,20210120,49800,356.5
Donovan Mitchell,Kentavious Caldwell-Pope,Kent Bazemore,Julius Randle,James Wiseman,Jrue Holiday,LeBron James,Mitchell Robinson,20210121,50000,327.25
Kendrick Nunn,George Hill,Aaron Gordon,Julius Randle,DeMarcus Cousins,Evan Fournier,LaMarcus Aldridge,Clint Capela,20210122,49900,345.0
Eric Bledsoe,Andrew Wiggins,Ben Simmons,Anthony Davis,DeMarcus Cousins,Wayne Ellington,Eric Gordon,Bojan Bogdanovic,20210123,49800,341.5
Immanuel Quickley,Devin Vassell,OG Anunoby,Giannis Antetokounmpo,Gary Clark,Jerome Robinson,Gordon Hayward,Kawhi Leonard,20210124,49000,354.5
Anfernee Simons,Delon Wright,LeBron James,Gordon Hayward,Nikola Vucevic,TJ McConnell,Thaddeus Young,Malik Beasley,20210125,49900,387.75
Reggie Jackson,Austin Rivers,Royce ONeale,DeAndre Hunter,Rudy Gobert,Mike Conley,John Collins,DeMarcus Cousins,20210126,49300,330.75
Jordan Clarkson,Collin Sexton,Brandon Ingram,Zion Williamson,Cody Zeller,Buddy Hield,Joe Ingles,Rudy Gobert,20210127,49400,381.75
Damian Lillard,Gabe Vincent,Kyle Kuzma,Jae Crowder,Frank Kaminsky,Victor Oladipo,LeBron James,Mason Plumlee,20210128,49800,331.5
Lonzo Ball,James Harden,Josh Hart,Juwan Morgan,Giannis Antetokounmpo,Theo Maledon,Tobias Harris,Darius Bazley,20210129,49000,348.25
Chris Paul,Nickeil Alexander-Walker,Josh Jackson,Giannis Antetokounmpo,Montrezl Harrell,LaMelo Ball,Pat Connaughton,Jimmy Butler,20210130,48900,366.75
Immanuel Quickley,Joe Harris,Anthony Edwards,Pascal Siakam,Andre Drummond,Landry Shamet,Jeff Green,Russell Westbrook,20210131,48900,372.75
Chris Paul,Malik Monk,Nassir Little,Julius Randle,Jarrett Allen,DeAaron Fox,Keldon Johnson,DeAnthony Melton,20210201,47600,419.0
Fred VanVleet,Desmond Bane,Kawhi Leonard,Robert Covington,Domantas Sabonis,Kyle Lowry,DeAndre Bembry,Josh Jackson,20210202,49500,374.5
Elfrid Payton,Paul George,Darius Bazley,John Collins,Bobby Portis,Kevin Huerter,Jayson Tatum,Ivica Zubac,20210203,49500,379.25
Luka Doncic,Damion Lee,JaeSean Tate,Juan Toscano-Anderson,Draymond Green,Gary Trent Jr,LeBron James,Carmelo Anthony,20210204,48800,326.25
LaMelo Ball,Justin Holiday,Isaac Okoro,Bojan Bogdanovic,Al Horford,Kendrick Nunn,Pascal Siakam,Nikola Vucevic,20210205,49400,415.25
Elfrid Payton,Shai Gilgeous-Alexander,Josh Jackson,Jerami Grant,Mike Muscala,Cole Anthony,Draymond Green,Stephen Curry,20210206,49400,377.25
Terry Rozier,Donovan Mitchell,Miles Bridges,Frank Kaminsky,Kelly Olynyk,Reggie Bullock,Julius Randle,DeAaron Fox,20210207,49800,331.5
Dejounte Murray,Malik Beasley,Khris Middleton,Darius Bazley,Chris Boucher,ETwaun Moore,Draymond Green,Devin Booker,20210208,49900,387.75
DeAaron Fox,Bruce Brown,Jimmy Butler,Eric Paschall,Nikola Vucevic,Donovan Mitchell,Sterling Brown,Josh Hart,20210209,49600,378.25
Kira Lewis Jr,Terry Rozier,Kawhi Leonard,Paul Millsap,Frank Kaminsky,Zach LaVine,Kenrich Williams,Al Horford,20210210,48200,368.0
Payton Pritchard,Andrew Wiggins,Jimmy Butler,Daniel Theis,Domantas Sabonis,Stephen Curry,Dwayne Bacon,Semi Ojeleye,20210211,50000,349.5
Troy Brown Jr,Terry Rozier,Saddiq Bey,Kyle Kuzma,Kristaps Porzingis,Luka Doncic,Michael Carter-Williams,Malik Beasley,20210212,49300,379.25
TJ McConnell,James Harden,Royce ONeale,Doug McDermott,Myles Turner,Malcolm Brogdon,Danilo Gallinari,Eric Gordon,20210213,47700,326.0
Patrick Beverley,Terry Rozier,Marcus Morris,Giannis Antetokounmpo,Bobby Portis,Justin Jackson,Jarred Vanderbilt,Damian Lillard,20210214,49300,361.25
Ben Simmons,David Nwaba,Jimmy Butler,Tobias Harris,Hassan Whiteside,Jordan Clarkson,Cedi Osman,Bam Adebayo,20210215,49300,444.0
Facundo Campazzo,Luguentz Dort,LeBron James,Giannis Antetokounmpo,Isaiah Roby,Anthony Edwards,Josh Hart,Jeff Green,20210216,49600,365.5
Jamal Murray,Terrence Ross,Kyle Anderson,Davis Bertans,Mike Muscala,Malcolm Brogdon,Domantas Sabonis,Tristan Thompson,20210217,50000,405.25
Alex Caruso,Norman Powell,Jimmy Butler,Nemanja Bjelica,Pascal Siakam,Tyler Herro,Kelly Olynyk,Bam Adebayo,20210218,49100,326.0
Lonzo Ball,Desmond Bane,Danny Green,Chuma Okeke,Mason Plumlee,Kemba Walker,Jayson Tatum,Joel Embiid,20210219,50000,366.0
Kendrick Nunn,Terry Rozier,Mikal Bridges,Patrick Williams,Robert Covington,Damian Lillard,Thaddeus Young,Cameron Payne,20210220,49900,333.25
Saben Lee,Khris Middleton,Bruce Brown,Giannis Antetokounmpo,DeAndre Jordan,Trae Young,Danny Green,Monte Morris,20210221,49800,364.0
Kendrick Nunn,Bradley Beal,David Nwaba,Dario Saric,Wendell Carter Jr,Devin Booker,Joe Ingles,Coby White,20210222,48900,350.5
Saben Lee,Tyrese Haliburton,Jaylen Brown,Isaac Okoro,Giannis Antetokounmpo,James Harden,James Johnson,Furkan Korkmaz,20210223,49800,350.25
Dejounte Murray,Malik Monk,Danilo Gallinari,Bojan Bogdanovic,Jarrett Allen,Shai Gilgeous-Alexander,Anthony Edwards,Tony Snell,20210224,47300,368.0
DeAaron Fox,Raul Neto,Khris Middleton,Giannis Antetokounmpo,Dwight Howard,Donte DiVincenzo,Harrison Barnes,Immanuel Quickley,20210225,49000,360.0
Theo Maledon,Norman Powell,Jimmy Butler,Daniel Theis,Draymond Green,Kyle Lowry,Justin Holiday,PJ Washington,20210226,49400,369.75
TJ McConnell,Derrick Rose,DeMar DeRozan,Isaiah Roby,Nikola Jokic,Eric Bledsoe,Isaac Okoro,Dorian Finney-Smith,20210227,49100,353.5
Kemba Walker,Desmond Bane,Davis Bertans,PJ Washington,Clint Capela,Kendrick Nunn,Harrison Barnes,John Collins,20210228,47900,366.0
Jalen Brunson,Evan Fournier,Cody Martin,Carmelo Anthony,Robert Covington,Collin Sexton,Bojan Bogdanovic,James Harden,20210301,50000,388.75
Ja Morant,DeAnthony Melton,Khris Middleton,Dario Saric,Nerlens Noel,Reggie Jackson,Brandon Clarke,Nikola Jokic,20210302,48300,341.0
Victor Oladipo,Collin Sexton,Norman Powell,Danilo Gallinari,Justin Patton,TJ McConnell,Kyle Kuzma,Dennis Smith Jr,20210303,47900,416.0
DeAaron Fox,Bradley Beal,Luke Kennard,Jayson Tatum,Trey Lyles,Dillon Brooks,Kelly Olynyk,Cameron Payne,20210304,48600,374.5
Luka Doncic,Garrison Mathews,Desmond Bane,DeMar DeRozan,Jonas Valanciunas,Justise Winslow,Rudy Gay,Ja Morant,20210310,49500,326.25
Kyrie Irving,Buddy Hield,Jimmy Butler,Daniel Theis,Kelly Olynyk,Jaylen Nowell,Jaden McDaniels,Tim Hardaway Jr,20210311,47700,362.5
Donovan Mitchell,Malcolm Brogdon,Kyle Kuzma,Markieff Morris,Nikola Jokic,Patty Mills,Danny Green,Kenyon Martin Jr,20210312,49800,328.5
Donte DiVincenzo,Anthony Edwards,DeAndre Bembry,Rui Hachimura,Domantas Sabonis,James Harden,Rodney McGruder,Carmelo Anthony,20210313,48900,353.0
Tomas Satoransky,Tyler Herro,Patrick Williams,Draymond Green,Rudy Gobert,Terrence Ross,Nathan Knight,Nikola Vucevic,20210314,47700,391.0
Luka Doncic,Donte DiVincenzo,Marcus Morris,Jae Crowder,Richaun Holmes,Reggie Bullock,Talen Horton-Tucker,Nikola Jokic,20210315,48400,354.75
Damian Lillard,Zach LaVine,Talen Horton-Tucker,Kelly Olynyk,Moses Brown,Ricky Rubio,JaeSean Tate,Daniel Theis,20210316,49300,387.0
Patty Mills,Jordan Poole,Josh Richardson,Domantas Sabonis,Draymond Green,James Harden,Saddiq Bey,Donte DiVincenzo,20210317,50000,387.25
Frank Ntilikina,Joe Ingles,Alec Burks,Julius Randle,Markieff Morris,Anthony Edwards,Mikal Bridges,Karl-Anthony Towns,20210318,49100,367.25
CJ McCollum,Joe Harris,Aaron Gordon,Richaun Holmes,Thaddeus Young,TJ McConnell,Andrew Wiggins,Keldon Johnson,20210319,48200,402.5
Donte DiVincenzo,Jordan Poole,Kent Bazemore,Juan Toscano-Anderson,Giannis Antetokounmpo,Buddy Hield,Keldon Johnson,DeMar DeRozan,20210320,49800,330.0
Chris Paul,Nickeil Alexander-Walker,Aleksej Pokusevski,OG Anunoby,Mason Plumlee,Collin Sexton,Talen Horton-Tucker,Nikola Jokic,20210321,49200,336.25
John Wall,Jrue Holiday,Luke Kennard,Bobby Portis,Richaun Holmes,Fred VanVleet,Sterling Brown,Jaylen Brown,20210322,48300,386.0
Nickeil Alexander-Walker,Kira Lewis Jr,Al-Farouq Aminu,Brandon Ingram,Tony Bradley,James Harden,Tobias Harris,Deandre Ayton,20210323,48500,357.5
Jalen Brunson,Caris LeVert,Bogdan Bogdanovic,Alize Johnson,Moses Brown,Devin Booker,Kristaps Porzingis,Clint Capela,20210324,46900,373.75
CJ McCollum,Kentavious Caldwell-Pope,RJ Barrett,Carmelo Anthony,Richaun Holmes,DeAaron Fox,Danny Green,Tyler Herro,20210325,48800,372.25
Ja Morant,Eric Bledsoe,Trevor Ariza,Robert Covington,Zion Williamson,Jamal Murray,Khem Birch,John Collins,20210326,49600,404.75
DeAaron Fox,Immanuel Quickley,Tim Hardaway Jr,Jordan Nwora,Moses Brown,Jordan Clarkson,Alec Burks,Paul George,20210327,48300,368.5
Dennis Schroder,CJ McCollum,Dwayne Bacon,Kyle Kuzma,Robert Covington,Alex Caruso,JaMychal Green,Montrezl Harrell,20210328,48800,317.25
Russell Westbrook,Josh Hart,Jaden McDaniels,Jayson Tatum,Kelly Olynyk,Hamidou Diallo,Luke Kennard,Richaun Holmes,20210329,49300,405.25
Russell Westbrook,Jerome Robinson,Bogdan Bogdanovic,Gordon Hayward,Cody Zeller,Michael Carter-Williams,Rui Hachimura,Jamal Murray,20210330,49900,356.75
Jrue Holiday,Devin Booker,Hamidou Diallo,OG Anunoby,Thaddeus Young,Jalen Brunson,Joe Harris,Mike Conley,20210331,48200,361.75
Shake Milton,Bogdan Bogdanovic,Josh Jackson,Draymond Green,Dwight Howard,Stephen Curry,Jeff Green,LaMarcus Aldridge,20210401,45900,363.75
Theo Maledon,Bogdan Bogdanovic,Miles Bridges,Aleksej Pokusevski,Pascal Siakam,Anthony Edwards,Gary Trent Jr,Jrue Holiday,20210402,49500,364.5
Elfrid Payton,Jrue Holiday,Terence Davis,Tobias Harris,Karl-Anthony Towns,TJ McConnell,Reggie Bullock,Donte DiVincenzo,20210403,48800,375.75
Lonzo Ball,Grayson Allen,Aaron Gordon,James Johnson,Nikola Jokic,Tomas Satoransky,Kelly Olynyk,Chuma Okeke,20210404,49000,351.0
Mike Conley,Kyrie Irving,Davis Bertans,Julius Randle,Deandre Ayton,Malachi Flynn,DeAndre Bembry,Darius Garland,20210405,49800,379.5
Trae Young,Norman Powell,Saddiq Bey,Kyle Anderson,Bam Adebayo,Paul George,Jeremy Lamb,James Wiseman,20210406,49300,340.5
Theo Maledon,Aaron Holiday,Jaylen Brown,Jalen McDaniels,Karl-Anthony Towns,John Wall,Kenrich Williams,TJ McConnell,20210407,48400,369.25
Rajon Rondo,Kentavious Caldwell-Pope,Jimmy Butler,Taurean Prince,Kristaps Porzingis,Donovan Mitchell,Bobby Portis,Chris Boucher,20210408,48500,382.5
Trae Young,Reggie Jackson,Miles Bridges,Jordan Nwora,Cody Zeller,Zach LaVine,Zion Williamson,Josh Okogie,20210409,46400,400.75
Malachi Flynn,Furkan Korkmaz,Gary Trent Jr,Richaun Holmes,Isaiah Hartenstein,Stephen Curry,Buddy Hield,Tony Bradley,20210410,46600,377.5
Cory Joseph,Caris LeVert,Bogdan Bogdanovic,Saddiq Bey,Nikola Jokic,Malcolm Brogdon,Marcus Morris,Nerlens Noel,20210411,49300,386.5
Stephen Curry,Facundo Campazzo,Brandon Ingram,Bojan Bogdanovic,Jonas Valanciunas,Furkan Korkmaz,Jae Crowder,Draymond Green,20210412,49800,355.25
Mike Conley,CJ McCollum,Luguentz Dort,Georges Niang,Clint Capela,Paul George,Marcus Morris,Caleb Martin,20210413,48700,376.25
Malcolm Brogdon,Naji Marshall,Aaron Gordon,Taj Gibson,Hassan Whiteside,Stephen Curry,Tobias Harris,Draymond Green,20210414,49200,357.0
Chris Paul,Bogdan Bogdanovic,Jaylen Brown,Solomon Hill,Juan Toscano-Anderson,Collin Sexton,Talen Horton-Tucker,Darius Garland,20210415,49700,337.0
Terry Rozier,Paul Watson,Jimmy Butler,Miles Bridges,Vernon Carey Jr,Coby White,Naji Marshall,Paul George,20210416,47800,398.0
Stephen Curry,Desmond Bane,Dillon Brooks,Rudy Gay,Isaiah Stewart,Grayson Allen,Jayson Tatum,Darius Garland,20210417,48400,359.5
Terry Rozier,Gary Trent Jr,Kevin Huerter,Carmelo Anthony,PJ Washington,Trae Young,Edmond Sumner,Clint Capela,20210418,50000,390.0
Kendrick Nunn,Duncan Robinson,Talen Horton-Tucker,Andre Iguodala,Joel Embiid,Ja Morant,Jayson Tatum,DeAnthony Melton,20210419,49500,403.5
Bruce Brown,Delon Wright,Miles Bridges,Jeff Green,Karl-Anthony Towns,Anthony Edwards,Naji Marshall,DAngelo Russell,20210420,50000,339.5
Kyrie Irving,Terance Mann,Luke Kennard,Oshae Brissett,Clint Capela,Caris LeVert,Buddy Hield,Mason Plumlee,20210421,49500,402.75
Derrick White,Kentavious Caldwell-Pope,Josh Jackson,Giannis Antetokounmpo,Jakob Poeltl,Devin Cannady,Bobby Portis,Chris Paul,20210422,49800,351.75
Ja Morant,CJ McCollum,Joe Harris,Juan Toscano-Anderson,DeAndre Jordan,Paul George,Trevor Ariza,Darius Garland,20210423,50000,343.75
Fred VanVleet,Denzel Valentine,PJ Dozier,Bojan Bogdanovic,Kelly Olynyk,Coby White,Giannis Antetokounmpo,Mason Plumlee,20210424,48700,384.5
Tyrese Haliburton,Kyrie Irving,Cody Martin,Draymond Green,Jarrett Allen,Devin Booker,Torrey Craig,Edmond Sumner,20210425,49900,367.25
Dejounte Murray,DAngelo Russell,Jimmy Butler,Trevor Ariza,Daniel Theis,Mike Conley,Keldon Johnson,Ty Jerome,20210426,48300,368.25
Payton Pritchard,Mychal Mulder,Jaylen Brown,Giannis Antetokounmpo,Christian Wood,Anfernee Simons,Oshae Brissett,Kelly Olynyk,20210427,48500,409.5
Lonzo Ball,Devonte Graham,Norman Powell,Jayson Tatum,Alex Len,Aaron Nesmith,RJ Barrett,Chris Paul,20210428,49100,388.0
Jrue Holiday,Khris Middleton,Alize Johnson,Oshae Brissett,Christian Wood,Ricky Rubio,Tim Hardaway Jr,Kevin Durant,20210429,49500,427.25
RJ Hampton,Jordan Poole,Saddiq Bey,Domantas Sabonis,Moritz Wagner,Frank Jackson,Luka Doncic,Lonzo Ball,20210501,47900,426.75
Kyle Lowry,Derrick Rose,Torrey Craig,Trevor Ariza,Kelly Olynyk,Damian Lillard,Pascal Siakam,Seth Curry,20210502,49000,388.75
Russell Westbrook,Desmond Bane,Rudy Gay,Davis Bertans,Draymond Green,TJ McConnell,Domantas Sabonis,RJ Hampton,20210503,48400,410.0
Chris Paul,Delon Wright,Tim Hardaway Jr,Kevin Durant,Dwight Powell,Fred VanVleet,Darius Bazley,Hamidou Diallo,20210504,48100,413.75
Delon Wright,Facundo Campazzo,Bradley Beal,Kenyon Martin Jr,Kelly Olynyk,Austin Rivers,Danilo Gallinari,Anthony Edwards,20210505,46500,408.75
Kyrie Irving,Caris LeVert,Garrett Temple,Kyle Kuzma,Dwight Powell,Cory Joseph,Danilo Gallinari,Trae Young,20210506,49900,380.75
Eric Bledsoe,Terry Rozier,Terence Davis,Bojan Bogdanovic,Kelly Olynyk,Tyler Herro,RJ Barrett,Kenyon Martin Jr,20210507,48600,360.25
Russell Westbrook,Tyrese Maxey,JaeSean Tate,Georges Niang,Dwight Howard,Armoni Brooks,Kenyon Martin Jr,Kevin Durant,20210508,48800,387.25
DAngelo Russell,Terry Rozier,Terence Davis,Chimezie Metu,Dwight Powell,Derrick Rose,Anthony Davis,Eric Bledsoe,20210509,49700,389.25
CJ McCollum,Jordan Clarkson,Bojan Bogdanovic,Dean Wade,Domantas Sabonis,Isaac Okoro,Chandler Hutchison,John Collins,20210510,50000,374.75
Kemba Walker,Derrick Rose,Bruce Brown,Draymond Green,Domantas Sabonis,Tyler Herro,Brandon Clarke,Evan Fournier,20210511,49200,377.0
Dejounte Murray,Kira Lewis Jr,Kyle Kuzma,Kevin Love,Jusuf Nurkic,Jordan Clarkson,Talen Horton-Tucker,Trae Young,20210512,49900,363.5
Jrue Holiday,Terence Davis,Stanley Johnson,Giannis Antetokounmpo,Lauri Markkanen,Damian Lillard,Alec Burks,Justin Holiday,20210513,49300,419.25
Nickeil Alexander-Walker,Josh Jackson,Justise Winslow,Ignas Brazdeikis,Nikola Jokic,Jordan Poole,Hamidou Diallo,Luka Doncic,20210514,49700,393.75
Devonte Graham,Caris LeVert,Miles Bridges,Patrick Williams,Thaddeus Young,Tremont Waters,Anthony Davis,Drew Eubanks,20210515,48000,339.5
Stephen Curry,DAngelo Russell,Kevin Durant,Paul Reed,Moses Brown,Tyrese Maxey,Jordan Nwora,Jevon Carter,20210516,44900,448.25
TJ McConnell,Terry Rozier,Kelan Martin,Jayson Tatum,Goga Bitadze,Kemba Walker,Miles Bridges,Doug McDermott,20210518,49700,324.25
Alex Caruso,Dillon Brooks,Andrew Wiggins,Keldon Johnson,Jonas Valanciunas,LeBron James,Rudy Gay,Dejounte Murray,20210519,48900,335.0
Damian Lillard,Anfernee Simons,Kawhi Leonard,Dorian Finney-Smith,Robert Williams,Rajon Rondo,Luka Doncic,Duncan Robinson,20210522,49800,343.5
Mike Conley,Devin Booker,Tobias Harris,Bojan Bogdanovic,Derrick Favors,Dillon Brooks,Alec Burks,Deandre Ayton,20210523,48600,365.75
Damian Lillard,Bryn Forbes,Aaron Gordon,Paul Millsap,Nikola Jokic,Monte Morris,Giannis Antetokounmpo,Dewayne Dedmon,20210524,50000,337.25
Reggie Jackson,Paul George,Kawhi Leonard,Maxi Kleber,Deandre Ayton,Cameron Payne,Anthony Davis,Marcus Smart,20210525,49500,345.75
Ja Morant,Derrick Rose,Kevin Huerter,Royce ONeale,Taj Gibson,Ben Simmons,Bradley Beal,Rudy Gobert,20210526,49700,326.0
Cameron Payne,Austin Rivers,Jimmy Butler,Nemanja Bjelica,Deandre Ayton,Facundo Campazzo,Robert Covington,Nikola Jokic,20210527,47600,303.0
Jalen Brunson,Romeo Langford,DeAndre Hunter,Jayson Tatum,Nerlens Noel,James Harden,Kawhi Leonard,Derrick Rose,20210528,50000,337.5
Kendrick Nunn,Norman Powell,Grayson Allen,Tobias Harris,Brook Lopez,Mike Conley,Giannis Antetokounmpo,Bam Adebayo,20210529,49800,333.25
Kyrie Irving,James Harden,Jae Crowder,Jayson Tatum,Marc Gasol,Marcus Smart,Obi Toppin,Jabari Parker,20210530,49500,346.25
Ja Morant,Dillon Brooks,Tobias Harris,Royce ONeale,Daniel Gafford,Russell Westbrook,Rui Hachimura,DeAnthony Melton,20210531,50000,334.25
Talen Horton-Tucker,James Harden,Romeo Langford,Jabari Parker,Jusuf Nurkic,Damian Lillard,Robert Covington,Devin Booker,20210601,49800,364.0
Jordan Clarkson,Seth Curry,Tobias Harris,Marcus Morris,Dwight Howard,Luka Doncic,Dillon Brooks,Royce ONeale,20210602,50000,348.5
Damian Lillard,Monte Morris,Cameron Johnson,Jae Crowder,Robert Covington,Devin Booker,LeBron James,Kentavious Caldwell-Pope,20210603,50000,350.75
Ben Simmons,Terance Mann,Nicolas Batum,Marcus Morris,Joel Embiid,Kevin Huerter,Luka Doncic,Boban Marjanovic,20210606,49600,342.5
Chris Paul,Devin Booker,Mikal Bridges,Aaron Gordon,Deandre Ayton,Mike James,JaMychal Green,Kevin Durant,20210607,49800,297.75
Jordan Clarkson,Kevin Huerter,Tobias Harris,Danilo Gallinari,Joel Embiid,Donovan Mitchell,Royce ONeale,Luke Kennard,20210608,49100,312.5
Donovan Mitchell,Khris Middleton,Bruce Brown,Marcus Morris,Brook Lopez,Paul George,Joe Ingles,Reggie Jackson,20210610,48600,317.75
Trae Young,Monte Morris,Will Barton,Jae Crowder,Dwight Howard,Chris Paul,Furkan Korkmaz,Nikola Jokic,20210611,49700,299.5
Chris Paul,Devin Booker,Khris Middleton,Kevin Durant,JaVale McGee,Monte Morris,Will Barton,PJ Tucker,20210613,49900,322.5
Donovan Mitchell,Paul George,Joe Ingles,Bojan Bogdanovic,Ivica Zubac,Trae Young,Nicolas Batum,Marcus Morris,20210614,49900,314.0
Reggie Jackson,Seth Curry,Bojan Bogdanovic,Nicolas Batum,John Collins,Paul George,Marcus Morris,Joel Embiid,20210616,50000,373.25
Donovan Mitchell,Terance Mann,Nicolas Batum,Royce ONeale,Clint Capela,Reggie Jackson,Kevin Huerter,Trae Young,20210618,48500,391.0
Reggie Jackson,Devin Booker,Cameron Johnson,Tobias Harris,Joel Embiid,Rajon Rondo,Kevin Huerter,Cameron Payne,20210620,49600,343.75
Reggie Jackson,Paul George,Marcus Morris,Dario Saric,Deandre Ayton,Cameron Payne,Cameron Johnson,Ivica Zubac,20210622,44000,261.5
