PG,SG,SF,PF,C,G,F,UTIL,Date,Score,Genetic
Eric Bledsoe,Ben McLemore,Trevor Ariza,Khem Birch,John Collins,Ja Morant,Zion Williamson,James Harden,20210326,425.75,404.75
DeAaron Fox,Paul George,Alec Burks,Jordan Nwora,Moses Brown,Theo Maledon,Thanasis Antetokounmpo,Karl-Anthony Towns,20210327,399.25,368.5
Dennis Schroder,Dwayne Bacon,Kyle Kuzma,JaMychal Green,Chris Boucher,CJ McCollum,Robert Covington,Montrezl Harrell,20210328,331.5,317.25
Cory Joseph,Hamidou Diallo,Jaden McDaniels,Kelly Olynyk,Isaiah Hartenstein,James Harden,Richaun Holmes,Russell Westbrook,20210329,422.75,405.25
Jamal Murray,Bogdan Bogdanovic,Gordon Hayward,Jae Crowder,Robin Lopez,Russell Westbrook,Rui Hachimura,Cody Zeller,20210330,359.0,356.75
Mike Conley,Jrue Holiday,Denzel Valentine,Bojan Bogdanovic,OG Anunoby,Devin Booker,Duncan Robinson,Kyrie Irving,20210331,383.5,361.75
Shake Milton,Bogdan Bogdanovic,Josh Jackson,Draymond Green,Dwight Howard,Stephen Curry,Jeff Green,Clint Capela,20210401,386.75,363.75
Chris Paul,Bogdan Bogdanovic,James Johnson,Miles Bridges,Robert Williams,Malachi Flynn,Pascal Siakam,Giannis Antetokounmpo,20210402,394.75,364.5
Jordan McLaughlin,Donte DiVincenzo,Terence Davis,Taurean Prince,Karl-Anthony Towns,Caris LeVert,Tobias Harris,Jrue Holiday,20210403,386.25,375.75
RJ Hampton,Kyrie Irving,Danilo Gallinari,James Johnson,Clint Capela,Tomas Satoransky,Kelly Olynyk,Lonzo Ball,20210404,360.0,351.0
Mike Conley,Devin Booker,DeAndre Bembry,Dorian Finney-Smith,Julius Randle,Malachi Flynn,Harrison Barnes,Darius Garland,20210405,388.0,379.5
Lonzo Ball,Jeremy Lamb,DeAndre Bembry,Kyle Anderson,Bam Adebayo,Paul George,Will Barton,Nikola Vucevic,20210406,378.0,340.5
TJ McConnell,Jaylen Brown,Aleksej Pokusevski,Jalen McDaniels,Onyeka Okongwu,John Wall,Kelly Olynyk,Russell Westbrook,20210407,395.0,369.25
Rajon Rondo,Cory Joseph,Luka Doncic,Bobby Portis,Isaiah Stewart,Zach LaVine,Kristaps Porzingis,Chris Boucher,20210408,399.0,382.5
Trae Young,Reggie Jackson,Miles Bridges,Jordan Nwora,Jonas Valanciunas,Zach LaVine,Zion Williamson,Jalen McDaniels,20210409,424.5,400.75
Donovan Mitchell,Furkan Korkmaz,Gary Trent Jr,Kelly Olynyk,Tony Bradley,Stephen Curry,Buddy Hield,Isaiah Hartenstein,20210410,385.5,377.5
Brandon Goodwin,Caris LeVert,Marcus Morris,Kristaps Porzingis,Jonas Valanciunas,Cory Joseph,Bogdan Bogdanovic,Malcolm Brogdon,20210411,423.0,386.5
Donovan Mitchell,Furkan Korkmaz,Maurice Harkless,Bojan Bogdanovic,Drew Eubanks,Stephen Curry,Christian Wood,Jonas Valanciunas,20210412,367.0,355.25
Mike Conley,Caleb Martin,Luguentz Dort,Jayson Tatum,Pascal Siakam,Paul George,Marcus Morris,Bismack Biyombo,20210413,386.5,376.25
Malcolm Brogdon,Grayson Allen,Jeremy Lamb,Draymond Green,Wendell Carter Jr,Russell Westbrook,Alec Burks,Kelly Olynyk,20210414,391.0,357.0
Payton Pritchard,Andrew Wiggins,Talen Horton-Tucker,Juan Toscano-Anderson,Clint Capela,Bogdan Bogdanovic,Jaylen Brown,Deandre Ayton,20210415,344.0,337.0
Coby White,Paul Watson,Naji Marshall,Miles Bridges,Isaiah Stewart,Paul George,Brandon Ingram,Julius Randle,20210416,433.5,398.0
Darius Garland,Grayson Allen,Devin Vassell,Jayson Tatum,Drew Eubanks,Stephen Curry,Khris Middleton,Isaiah Stewart,20210417,371.5,359.5
Terry Rozier,Gary Trent Jr,Terence Davis,PJ Washington,Clint Capela,Trae Young,Kevin Huerter,Landry Shamet,20210418,407.0,390.0
Kendrick Nunn,Duncan Robinson,Talen Horton-Tucker,Andre Iguodala,Joel Embiid,DeAnthony Melton,Jayson Tatum,Ja Morant,20210419,403.5,403.5
DAngelo Russell,Naji Marshall,Nassir Little,Maurice Harkless,Jeff Green,Paul George,Anthony Edwards,Karl-Anthony Towns,20210420,347.0,339.5
Malcolm Brogdon,Caris LeVert,Luke Kennard,Oshae Brissett,Clint Capela,Kyrie Irving,Kent Bazemore,Mason Plumlee,20210421,430.75,402.75
Devin Cannady,Kentavious Caldwell-Pope,Josh Jackson,Bobby Portis,Andre Drummond,Derrick White,Giannis Antetokounmpo,Jakob Poeltl,20210422,354.5,351.75
Payton Pritchard,Raul Neto,Miles Bridges,Isaiah Roby,Jusuf Nurkic,Ja Morant,Draymond Green,Russell Westbrook,20210423,387.5,343.75
Coby White,PJ Dozier,RJ Barrett,Giannis Antetokounmpo,DJ Wilson,Fred VanVleet,Anthony Edwards,Mason Plumlee,20210424,410.25,384.5
Kyrie Irving,Cedi Osman,Cody Martin,PJ Washington,Jusuf Nurkic,Torrey Craig,Kevin Durant,Jarrett Allen,20210425,388.75,367.25
Trey Burke,DAngelo Russell,Jimmy Butler,Paul Reed,Daniel Theis,Mike Conley,DeMar DeRozan,Dejounte Murray,20210426,386.75,368.25
Payton Pritchard,Mychal Mulder,Miles Bridges,Oshae Brissett,Giannis Antetokounmpo,Anfernee Simons,Christian Wood,Jaylen Brown,20210427,409.75,409.5
Facundo Campazzo,Aaron Nesmith,RJ Barrett,Jayson Tatum,Alex Len,Lonzo Ball,Jaylen Brown,Chris Paul,20210428,405.75,388.0
Ricky Rubio,Andrew Wiggins,Alize Johnson,Kevin Durant,Kelly Olynyk,Khris Middleton,Tim Hardaway Jr,Jrue Holiday,20210429,431.5,427.25
RJ Hampton,Frank Jackson,Saddiq Bey,Doug McDermott,Oshae Brissett,Lonzo Ball,Domantas Sabonis,Luka Doncic,20210501,442.25,426.75
Kyle Lowry,Torrey Craig,RJ Barrett,Kelly Olynyk,Dwight Howard,Damian Lillard,Pascal Siakam,Seth Curry,20210502,393.5,388.75
RJ Hampton,Desmond Bane,Saddiq Bey,Rudy Gay,Draymond Green,Russell Westbrook,Danilo Gallinari,Domantas Sabonis,20210503,436.5,410.0
Delon Wright,Fred VanVleet,Hamidou Diallo,Sekou Doumbouya,Giannis Antetokounmpo,Chris Paul,Darius Bazley,Tim Hardaway Jr,20210504,416.5,413.75
Ja Morant,Facundo Campazzo,Anthony Edwards,Kelly Olynyk,Onyeka Okongwu,Austin Rivers,Kenyon Martin Jr,Russell Westbrook,20210505,446.5,408.75
Cory Joseph,Caris LeVert,Wayne Ellington,Danilo Gallinari,Nikola Vucevic,Kyrie Irving,Kyle Kuzma,Robin Lopez,20210506,391.25,380.75
Armoni Brooks,Tyler Herro,Bojan Bogdanovic,Jarred Vanderbilt,Anthony Davis,Damian Lillard,Kenyon Martin Jr,Deandre Ayton,20210507,402.75,360.25
Tyrese Maxey,Jalen Harris,Kevin Durant,Juan Toscano-Anderson,Dwight Howard,Russell Westbrook,Kenyon Martin Jr,Jonas Valanciunas,20210508,407.75,387.25
Eric Bledsoe,Evan Fournier,Jimmy Butler,Chimezie Metu,Dwight Powell,Terry Rozier,Anthony Davis,Jaxson Hayes,20210509,408.0,389.25
Patty Mills,Jordan Clarkson,Isaac Okoro,Kelan Martin,Dean Wade,Russell Westbrook,Domantas Sabonis,John Collins,20210510,407.25,374.75
Saben Lee,Tyler Herro,Kenrich Williams,Jayson Tatum,Draymond Green,Derrick Rose,Andrew Wiggins,Kemba Walker,20210511,394.25,377.0
Payton Pritchard,Landry Shamet,Talen Horton-Tucker,Kyle Kuzma,Jusuf Nurkic,Dejounte Murray,Kevin Love,Russell Westbrook,20210512,380.25,363.5
Jrue Holiday,Dillon Brooks,Alec Burks,Lauri Markkanen,Giannis Antetokounmpo,Damian Lillard,Stanley Johnson,Justin Holiday,20210513,430.5,419.25
Justise Winslow,Mychal Mulder,Louis King,Kelly Olynyk,Nikola Jokic,Jordan Poole,Hamidou Diallo,Russell Westbrook,20210514,427.5,393.75
Devonte Graham,Devin Vassell,Patrick Williams,Thaddeus Young,Anthony Davis,Caris LeVert,Bruce Brown,Miles Bridges,20210515,357.0,339.5
Tyrese Maxey,Terry Rozier,Kevin Durant,Paul Reed,Onyeka Okongwu,Stephen Curry,Jordan Nwora,Moses Brown,20210516,453.5,448.25
Kemba Walker,Bradley Beal,Miles Bridges,Doug McDermott,Goga Bitadze,Malik Monk,Oshae Brissett,Jayson Tatum,20210518,328.75,324.25
Dejounte Murray,Kentavious Caldwell-Pope,Rudy Gay,Draymond Green,Jakob Poeltl,Dillon Brooks,LeBron James,Jonas Valanciunas,20210519,344.25,335.0
Goran Dragic,Duncan Robinson,Nicolas Batum,Carmelo Anthony,Robert Williams,Damian Lillard,Kawhi Leonard,Luka Doncic,20210522,345.25,343.5
Derrick Rose,Devin Booker,Alec Burks,Tobias Harris,Derrick Favors,Mike Conley,Dillon Brooks,Trae Young,20210523,372.0,365.75
Bryn Forbes,Facundo Campazzo,Pat Connaughton,Paul Millsap,Nikola Jokic,Damian Lillard,Giannis Antetokounmpo,Dewayne Dedmon,20210524,338.5,337.25
Reggie Jackson,Paul George,Joe Harris,Anthony Davis,Tristan Thompson,Cameron Payne,Kawhi Leonard,Marcus Smart,20210525,360.0,345.75
Mike Conley,Bradley Beal,DeAndre Hunter,Taj Gibson,Rudy Gobert,Ben Simmons,Royce ONeale,Ja Morant,20210526,337.25,326.0
Austin Rivers,Facundo Campazzo,Norman Powell,Nemanja Bjelica,Deandre Ayton,Cameron Payne,Anthony Davis,Nikola Jokic,20210527,316.5,303.0
Reggie Jackson,Terance Mann,Kevin Durant,Jayson Tatum,Nerlens Noel,Derrick Rose,Kawhi Leonard,Tristan Thompson,20210528,353.25,337.5
Bryn Forbes,Norman Powell,Danny Green,Tobias Harris,Brook Lopez,Mike Conley,Giannis Antetokounmpo,Bam Adebayo,20210529,340.25,333.25
Payton Pritchard,Kyrie Irving,Nicolas Batum,Jae Crowder,Marc Gasol,James Harden,Jayson Tatum,RJ Barrett,20210530,357.5,346.25
DeAnthony Melton,Donovan Mitchell,Danny Green,Rui Hachimura,Robin Lopez,Ja Morant,Tobias Harris,Russell Westbrook,20210531,345.5,334.25
Talen Horton-Tucker,James Harden,Mikal Bridges,Jabari Parker,Robert Covington,Romeo Langford,Jayson Tatum,Damian Lillard,20210601,376.25,364.0
Tyrese Maxey,Seth Curry,Marcus Morris,Royce ONeale,Rui Hachimura,Donovan Mitchell,Tobias Harris,Luka Doncic,20210602,359.0,348.5
Damian Lillard,Kentavious Caldwell-Pope,Cameron Johnson,Jae Crowder,Robert Covington,Monte Morris,LeBron James,Devin Booker,20210603,350.75,350.75
Luka Doncic,Terance Mann,Matisse Thybulle,Marcus Morris,Boban Marjanovic,Kevin Huerter,Kawhi Leonard,Joel Embiid,20210606,347.0,342.5
Facundo Campazzo,Torrey Craig,Bruce Brown,JaMychal Green,Nikola Jokic,Chris Paul,Mikal Bridges,Kevin Durant,20210607,301.25,297.75
Jordan Clarkson,Kevin Huerter,Royce ONeale,Danilo Gallinari,Ivica Zubac,Donovan Mitchell,Tobias Harris,Joel Embiid,20210608,319.0,312.5
Reggie Jackson,Joe Ingles,Bruce Brown,Marcus Morris,Brook Lopez,Khris Middleton,Kevin Durant,Rudy Gobert,20210610,330.75,317.75
Monte Morris,Furkan Korkmaz,Jae Crowder,Dario Saric,Joel Embiid,Chris Paul,John Collins,Nikola Jokic,20210611,312.25,299.5
Chris Paul,Pat Connaughton,Jae Crowder,PJ Tucker,Giannis Antetokounmpo,Will Barton,Khris Middleton,Devin Booker,20210613,333.0,322.5
Patrick Beverley,Paul George,Joe Ingles,Marcus Morris,John Collins,Donovan Mitchell,Nicolas Batum,Trae Young,20210614,319.75,314.0
Reggie Jackson,Seth Curry,Marcus Morris,Nicolas Batum,John Collins,Paul George,Bojan Bogdanovic,Joel Embiid,20210616,373.25,373.25
Reggie Jackson,Terance Mann,Nicolas Batum,Royce ONeale,Rudy Gobert,Donovan Mitchell,Kevin Huerter,Trae Young,20210618,392.25,391.0
Rajon Rondo,Kevin Huerter,Cameron Johnson,John Collins,Joel Embiid,Cameron Payne,Tobias Harris,Devin Booker,20210620,344.75,343.75
Reggie Jackson,Paul George,Marcus Morris,Dario Saric,Deandre Ayton,Cameron Payne,Cameron Johnson,Ivica Zubac,20210622,261.5,261.5
Bogdan Bogdanovic,Pat Connaughton,Solomon Hill,Bobby Portis,John Collins,Jrue Holiday,Giannis Antetokounmpo,Trae Young,20210623,311.25,311.25
Reggie Jackson,Paul George,Cameron Johnson,Marcus Morris,Ivica Zubac,Chris Paul,Mikal Bridges,Deandre Ayton,20210624,279.75,279.75
Bogdan Bogdanovic,Pat Connaughton,PJ Tucker,Bobby Portis,Brook Lopez,Jrue Holiday,Khris Middleton,Giannis Antetokounmpo,20210625,221.75,221.75
Reggie Jackson,Paul George,Mikal Bridges,Jae Crowder,Ivica Zubac,Chris Paul,Nicolas Batum,Deandre Ayton,20210626,269.25,269.25
Bogdan Bogdanovic,Pat Connaughton,Kevin Huerter,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Danilo Gallinari,Clint Capela,20210627,280.25,280.25
Reggie Jackson,Devin Booker,Cameron Johnson,Marcus Morris,Deandre Ayton,Paul George,Jae Crowder,DeMarcus Cousins,20210628,282.0,282.0
Jrue Holiday,Cam Reddish,Kevin Huerter,John Collins,Clint Capela,Khris Middleton,Bobby Portis,Bogdan Bogdanovic,20210629,237.5,237.5
Cameron Payne,Reggie Jackson,Torrey Craig,Jae Crowder,Deandre Ayton,Devin Booker,Marcus Morris,Chris Paul,20210630,297.25,295.75
Bogdan Bogdanovic,Jrue Holiday,PJ Tucker,John Collins,Bobby Portis,Khris Middleton,Kevin Huerter,Brook Lopez,20210701,342.75,342.75
