Date,AvgFPTS
20191022,168.925
20191023,172.4
20191024,162.275
20191025,128.275
20191026,179.4
20191027,174.1
20191028,154.6
20191029,161.55
20191030,170.575
20191031,169.7
20191101,200.5
20191102,162.2
20191103,148.625
20191104,165.05
20191105,152.2
20191106,166.525
20191107,167.275
20191108,165.525
20191109,187.975
20191110,159.775
20191111,167.25
20191112,158.8
20191113,167.325
20191114,183.45
20191115,160.525
20191116,172.725
20191117,177.025
20191118,170.375
20191119,212.375
20191120,201.875
20191121,198.4
20191122,181.275
20191123,192.6
20191124,160.675
20191125,171.1
20191126,169.125
20191127,157.05
20191129,158.975
20191130,179.525
20191201,133.6
20191202,164.15
20191203,182.675
20191204,180.325
20191205,170.325
20191206,163.575
20191207,153.25
20191208,163.05
20191209,145.55
20191210,151.575
20191211,162.125
20191212,184.9
20191213,165.7
20191214,188.325
20191215,164.25
20191216,189.6
20191217,158.225
20191218,167.3
20191219,166.125
20191220,183.0
20191221,204.2
20191222,175.35
20191223,179.65
20191225,179.125
20191226,161.875
20191227,177.05
20191228,182.05
20191229,190.8
20191230,166.325
20191231,163.45
20200101,165.975
20200102,175.25
20200103,168.175
20200104,156.425
20200105,180.95
20200106,178.525
20200107,159.125
20200108,205.8
20200109,175.0
20200110,167.95
20200111,172.825
20200112,164.7
20200113,173.6
20200114,175.275
20200115,176.8
20200116,184.6
20200117,173.9
20200118,172.475
20200119,183.9
20200120,160.075
20200122,156.825
20200123,198.65
20200124,185.4
20200125,191.475
20200126,181.0
20200127,182.575
20200128,163.325
20200129,157.75
20200130,178.8
20200131,166.225
20200201,170.55
20200202,166.125
20200203,184.775
20200204,175.525
20200205,170.625
20200206,162.725
20200207,167.325
20200208,162.325
20200209,168.525
20200210,189.425
20200211,176.5
20200212,198.15
20200213,183.375
20200220,187.825
20200221,178.9
20200222,169.825
20200223,203.625
20200224,200.875
20200225,197.05
20200226,177.55
20200227,187.3
20200228,196.575
20200229,184.35
20200301,171.65
20200302,182.85
20200303,170.05
20200304,166.7
20200305,172.0
20200306,171.95
20200307,170.825
20200308,178.95
20200309,183.3
20200310,168.925
20200311,191.1
20200730,149.375
20200731,178.1
20200801,141.95
20200802,173.35
20200803,149.675
20200804,191.65
20200805,146.05
20200806,175.75
20200807,151.575
20200808,207.575
20200809,154.3
20200810,164.575
20200811,183.0
20200812,156.7
20200813,175.275
20200814,151.875
20200817,160.45
20200818,171.0
20200819,154.225
20200820,160.4
20200821,156.95
20200822,187.05
20200823,155.4
20200824,184.475
20200825,169.175
20200829,160.025
20200830,160.725
20200831,171.05
20200901,165.2
20200902,181.975
20200903,158.475
