Date,AvgFPTS
20191022,182.055
20191023,158.75
20191024,160.425
20191025,158.975
20191026,153.975
20191027,181.67
20191028,179.535
20191029,154.83
20191030,161.34
20191031,163.87
20191101,174.245
20191102,174.705
20191103,168.0
20191104,174.65
20191105,170.77
20191106,167.855
20191107,152.595
20191108,165.135
20191109,179.72
20191110,168.125
20191111,178.54
20191112,175.745
20191113,179.025
20191114,183.88
20191115,181.895
20191116,163.01
20191117,184.185
20191118,170.52
20191119,190.27
20191120,171.63
20191121,206.28
20191122,181.78
20191123,168.65
20191124,163.41
20191125,174.515
20191126,157.325
20191127,162.675
20191129,171.795
20191130,171.955
20191201,165.045
20191202,158.49
20191203,187.51
20191204,177.7
20191205,174.96
20191206,168.4
20191207,172.3
20191208,171.85
20191209,161.425
20191210,162.9
20191211,178.575
20191212,182.005
20191213,164.48
20191214,169.885
20191215,166.655
20191216,184.33
20191217,182.665
20191218,186.84
20191219,168.525
20191220,159.88
20191221,177.755
20191222,159.535
20191223,171.88
20191225,183.3
20191226,162.06
20191227,171.605
20191228,163.165
20191229,172.87
20191230,150.935
20191231,166.5
20200101,169.925
20200102,183.965
20200103,189.235
20200104,172.98
20200105,161.85
20200106,169.85
20200107,162.66
20200108,165.38
20200109,165.32
20200110,163.53
20200111,175.085
20200112,170.03
20200113,175.305
20200114,168.825
20200115,165.07
20200116,173.31
20200117,179.28
20200118,170.91
20200119,185.315
20200120,167.26
20200122,157.93
20200123,180.625
20200124,184.3
20200125,173.985
20200126,165.61
20200127,171.02
20200128,162.435
20200129,167.825
20200130,183.005
20200131,168.75
20200201,171.7
20200202,171.81
20200203,175.275
20200204,168.71
20200205,178.535
20200206,183.005
20200207,179.97
20200208,178.475
20200209,183.035
20200210,188.04
20200211,176.275
20200212,176.24
20200213,183.7
20200220,185.53
20200221,177.585
20200222,160.39
20200223,164.98
20200224,157.83
20200225,180.465
20200226,187.325
20200227,168.015
20200228,171.675
20200229,180.825
20200301,188.11
20200302,180.37
20200303,184.675
20200304,177.495
20200305,169.31
20200306,179.475
20200307,173.7
20200308,176.145
20200309,181.985
20200310,182.835
20200311,196.945
20200730,156.675
20200731,175.87
20200801,154.125
20200802,186.645
20200803,172.28
20200804,179.045
20200805,154.32
20200806,154.47
20200807,148.97
20200808,203.435
20200809,177.8
20200810,175.055
20200811,162.74
20200812,172.785
20200813,170.05
20200814,167.955
20200817,173.05
20200818,170.525
20200819,139.425
20200820,162.435
20200821,157.18
20200822,178.245
20200823,168.755
20200824,166.56
20200825,165.355
20200829,169.71
20200830,166.395
20200831,183.925
20200901,164.225
20200902,186.155
20200903,153.985
20200904,153.99
20200905,167.03
20200906,180.38
20200907,143.085
20200908,183.04
20200909,165.71
20200911,177.39
20200915,137.105
20200917,159.715
20200918,137.01
20200919,179.165
20200920,161.8
20200922,174.835
20200923,179.91
20200924,154.28
20200925,198.84
20200926,170.925
20200927,200.935
20201222,147.535
20201223,176.16
20201225,137.34
20201226,179.12
20201227,159.01
20201228,185.98
20201229,163.345
20201230,162.68
20201231,164.045
20210101,152.555
20210102,194.19
20210103,166.92
20210104,168.37
20210105,164.67
20210106,185.575
20210107,163.79
20210108,176.54
20210109,173.115
20210110,147.26
20210111,157.775
20210112,178.085
20210113,177.77
20210114,182.98
