Date,AvgFPTS
20191022,176.5975
20191023,158.4375
20191024,166.53
20191025,155.555
20191026,159.1825
20191027,170.4625
20191028,174.7775
20191029,157.77
20191030,175.0075
20191031,171.1
20191101,172.0925
20191102,180.82
20191103,159.56
20191104,175.0
20191105,170.455
20191106,180.2125
20191107,153.5475
20191108,169.7075
20191109,179.41
20191110,175.79
20191111,176.1975
20191112,170.525
20191113,181.9775
20191114,180.1175
20191115,172.3775
20191116,171.0
20191117,170.2725
20191118,158.2775
20191119,183.0325
20191120,180.75
20191121,205.7125
20191122,169.95
20191123,174.0575
20191124,164.265
20191125,173.9225
20191126,164.19
20191127,165.275
20191129,163.5275
20191130,172.6175
20191201,165.185
20191202,155.9525
20191203,178.085
20191204,172.6525
20191205,183.8075
20191206,169.4825
20191207,171.6225
20191208,168.595
20191209,171.4725
20191210,152.94
20191211,174.5425
20191212,183.4725
20191213,166.8
20191214,170.505
20191215,155.3625
20191216,185.2075
20191217,179.5075
20191218,175.7175
20191219,167.1625
20191220,162.1775
20191221,180.4275
20191222,161.1425
20191223,170.9975
20191225,177.0925
20191226,157.365
20191227,168.155
20191228,167.6625
20191229,164.8575
20191230,152.6725
20191231,161.1925
20200101,168.9375
20200102,175.85
20200103,184.045
20200104,163.9375
20200105,174.3725
20200106,167.39
20200107,159.61
20200108,179.205
20200109,163.9925
20200110,162.18
20200111,168.1
20200112,167.71
20200113,173.2025
20200114,160.5475
20200115,176.05
20200116,184.1775
20200117,178.16
20200118,165.245
20200119,190.7725
20200120,166.4825
20200122,177.4075
20200123,184.6925
20200124,183.745
20200125,172.135
20200126,180.2925
20200127,168.615
20200128,168.8975
20200129,164.5025
20200130,181.7275
20200131,174.5125
20200201,172.6825
20200202,183.8325
20200203,184.4425
20200204,170.725
20200205,170.9475
20200206,188.155
20200207,184.8475
20200208,171.7075
20200209,188.6625
20200210,180.8175
20200211,165.685
20200212,185.2075
20200213,180.33
20200220,184.1425
20200221,175.9425
20200222,164.16
20200223,171.2925
20200224,172.3075
20200225,180.125
20200226,181.9775
20200227,156.4425
20200228,180.6075
20200229,178.8825
20200301,179.945
20200302,177.165
20200303,181.735
20200304,174.7225
20200305,181.76
20200306,175.21
20200307,172.09
20200308,178.495
20200309,181.005
20200310,178.3325
20200311,193.5075
20200730,159.4275
20200731,180.835
20200801,145.61
20200802,183.0375
20200803,174.575
20200804,181.83
20200805,155.025
20200806,168.1375
20200807,160.9625
20200808,194.1925
20200809,181.6725
20200810,172.0925
20200811,180.27
20200812,162.4425
20200813,170.5625
20200814,165.8125
20200817,170.095
20200818,168.7725
20200819,155.3775
20200820,165.3975
20200821,154.9825
20200822,175.34
20200823,168.135
20200824,172.115
20200825,165.08
20200829,162.98
20200830,164.0425
20200831,178.02
20200901,170.105
20200902,184.9825
20200903,159.9675
20200904,165.0175
20200905,164.9525
20200906,182.01
20200907,145.5775
20200908,177.52
20200909,159.855
20200911,164.6075
20200915,132.18
20200917,159.365
20200918,136.89
20200919,184.2625
20200920,165.065
20200922,170.275
20200923,176.995
20200924,155.9425
20200925,195.3925
20200926,174.5975
20200927,195.3625
20201222,143.465
20201223,180.58
20201225,143.97
20201226,180.2425
20201227,166.1825
20201228,182.5175
20201229,162.365
20201230,164.025
20201231,160.235
20210101,157.745
20210102,186.1775
20210103,162.7775
20210104,163.49
20210105,172.2625
20210106,187.455
20210107,166.7175
20210108,172.21
20210109,180.6775
20210110,157.655
20210111,170.3
20210112,175.15
20210113,181.5325
20210114,185.3175
20210115,167.82
20210116,195.7025
20210117,165.1825
20210118,161.425
20210119,134.0975
20210120,166.95
20210121,170.055
20210122,168.3875
20210123,164.6475
20210124,174.6625
20210125,172.1075
20210126,162.685
20210127,166.7225
20210128,161.4975
20210129,155.365
20210130,162.37
20210131,172.145
20210201,178.235
20210202,184.5375
20210203,171.29
20210204,159.2375
20210205,176.145
20210206,190.415
20210207,166.63
20210208,182.55
20210209,173.3325
20210210,168.8175
20210211,174.2675
20210212,170.775
20210213,173.015
20210214,176.275
20210215,190.9675
20210216,181.7725
20210217,179.2125
20210218,147.6525
20210219,152.465
20210220,164.5075
20210221,171.365
20210222,162.155
20210223,179.915
20210224,164.765
20210225,162.965
20210226,175.3725
20210227,172.86
20210228,167.7375
20210301,183.195
20210302,164.075
20210303,194.5525
20210304,181.5575
20210310,165.2925
20210311,172.1225
20210312,155.81
20210313,162.255
20210314,169.7275
20210315,160.345
20210316,186.98
20210317,176.3425
20210318,180.37
20210319,181.46
20210320,152.95
20210321,162.7925
20210322,177.49
20210323,160.355
20210324,163.715
20210325,179.5775
20210326,179.1725
20210327,162.9825
20210328,161.955
20210329,169.15
20210330,166.7
20210331,172.7775
20210401,173.01
20210402,161.42
20210403,172.4975
20210404,163.6375
20210405,188.8425
20210406,158.0
20210407,179.9575
20210408,167.205
20210409,183.105
20210410,165.505
20210411,170.8625
20210412,148.26
20210413,171.2075
20210414,165.18
20210415,170.73
20210416,179.535
20210417,161.3225
20210418,184.6125
20210419,160.93
20210420,180.7075
20210421,170.24
20210422,152.0975
