Date,AvgFPTS,Average
20210403,168.7999,
20210404,164.8491,
20210405,184.25175,
20210406,153.96485,
20210407,172.352925,
20210408,169.2028,
20210409,179.824525,
20210410,166.6335,
20210411,172.07145,
20210412,149.1088,
20210413,168.834025,
20210414,171.849325,
20210415,169.21445,
20210416,175.2562,
20210417,155.869425,
20210418,186.8001,
20210419,159.961725,
20210420,187.463325,
20210421,166.815275,
20210422,152.787725,
20210423,181.0989,
20210424,175.139125,
20210425,177.926725,
20210426,157.64225,
20210427,181.49795,
20210428,158.7119,
20210429,179.218325,
20210501,189.02875,
20210502,173.983375,
20210503,171.79415,
20210504,185.811475,
20210505,158.731375,
20210506,172.034025,
20210507,174.94225,
20210508,166.071875,
20210509,177.905825,
20210510,191.616425,
20210511,177.12305,
20210512,166.73425,
20210513,172.7151,
20210514,176.801875,
20210515,176.7064,
20210516,185.810125,
20210518,137.549575,
20210519,193.0544,
20210522,182.353325,
20210523,170.133375,
20210524,129.89105,
20210525,162.97495,
20210526,154.7177,
20210527,158.20955,
20210528,171.037725,
20210529,143.373725,
20210530,150.678775,
20210531,184.26985,
20210601,162.1277,
20210602,159.701825,
20210603,145.9418,
20210606,175.795525,
20210607,134.16385,
20210608,157.5673,
20210610,174.29375,
20210611,126.756575,
20210613,154.507225,
20210614,161.309225,
20210616,162.818375,
20210618,170.8041,
20210620,175.27035,
20210622,159.721075,
20210623,194.661025,
20210624,127.5253,
20210625,119.052725,
20210626,140.515175,
20210627,188.0243,
20210628,137.32965,
20210629,121.060475,
20210630,139.356625,
20210701,172.694675,
