Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20191123,Al-Farouq Aminu,Orl,19.49,1,5,0.2,0,2,0.0,2,2,1.0,2,2,4,4,2,1,1,2,4,-9
20191125,Al-Farouq Aminu,Orl,19.23,1,7,0.143,0,4,0.0,0,0,0.0,0,4,4,2,0,0,0,0,2,-7
20191127,Al-Farouq Aminu,Orl,20.36,0,2,0.0,0,1,0.0,0,2,0.0,0,2,2,1,2,1,0,1,0,-2
20191129,Al-Farouq Aminu,Orl,18.16,2,7,0.286,1,3,0.333,0,0,0.0,1,1,2,1,2,0,2,0,5,-7
20210209,Al-Farouq Aminu,Orl,4.52,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,1,0,0,1,0,0,-7
20210217,Al-Farouq Aminu,Orl,11.31,1,1,1.0,1,1,1.0,0,0,0.0,1,2,3,1,0,0,1,0,3,8
20210219,Al-Farouq Aminu,Orl,12.54,3,4,0.75,0,1,0.0,2,2,1.0,0,4,4,2,0,0,2,1,8,-11
20210221,Al-Farouq Aminu,Orl,18.57,1,4,0.25,0,2,0.0,1,1,1.0,1,5,6,2,4,2,0,1,3,12
20210223,Al-Farouq Aminu,Orl,21.3,1,3,0.333,1,1,1.0,0,0,0.0,0,4,4,1,1,1,2,1,3,-12
20210225,Al-Farouq Aminu,Orl,23.15,1,6,0.167,0,2,0.0,0,0,0.0,0,3,3,4,2,0,2,0,2,-12
20210227,Al-Farouq Aminu,Orl,22.16,3,6,0.5,1,2,0.5,0,0,0.0,4,2,6,0,1,0,0,1,7,-14
20210301,Al-Farouq Aminu,Orl,22.4,3,6,0.5,1,2,0.5,0,0,0.0,0,2,2,2,0,0,0,2,7,-13
