Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20201226,Mitchell Robinson,NYK,24.59,5,8,.625,0,0,0,1,2,.500,5,4,9,0,1,2,0,3,11,-19
20201226,Elfrid Payton,NYK,18.14,0,6,.000,0,3,.000,0,0,0,0,3,3,1,0,0,0,1,0,-15
20201226,Alec Burks,NYK,30.42,6,13,.462,4,6,.667,6,6,1.000,0,5,5,3,2,1,5,4,22,-4
20201226,Kevin Knox,NYK,28.33,3,6,.500,1,3,.333,0,0,0,3,1,4,3,0,0,1,2,7,-9
20201226,Dennis Smith Jr,NYK,17.38,1,5,.200,0,2,.000,2,2,1.000,0,2,2,2,1,0,1,4,4,+1
20201226,Nerlens Noel,NYK,15.58,2,5,.400,0,0,0,0,1,.000,1,3,4,1,1,1,1,1,4,+1
20201226,Frank Ntilikina,NYK,2.27,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-3
20201226,Theo Pinson,NYK,2.27,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,-3
20201226,Domantas Sabonis,Ind,33.56,8,11,.727,0,1,.000,6,11,.545,1,9,10,11,1,0,5,6,22,+16
20201226,Malcolm Brogdon,Ind,28.52,8,14,.571,1,4,.250,1,1,1.000,0,2,2,6,1,0,1,1,18,+8
20201226,T.J. Warren,Ind,26.59,10,16,.625,0,2,.000,3,4,.750,2,4,6,3,0,0,0,3,23,+9
20201226,Myles Turner,Ind,25.13,4,8,.500,1,4,.250,0,0,0,0,5,5,1,2,4,1,4,9,+15
20201226,Victor Oladipo,Ind,25.03,8,12,.667,5,5,1.000,1,1,1.000,0,7,7,1,2,0,2,2,22,+8
20201226,Justin Holiday,Ind,31.25,2,5,.400,0,3,.000,1,2,.500,0,2,2,2,2,0,0,3,5,+3
20201226,Doug McDermott,Ind,22.08,5,8,.625,2,4,.500,0,0,0,2,6,8,0,0,0,1,2,12,+6
20201226,T.J. McConnell,Ind,19.08,2,5,.400,0,0,0,0,0,0,2,1,3,8,3,0,3,2,4,+11
20201226,Aaron Holiday,Ind,18.56,3,10,.300,0,3,.000,0,0,0,0,2,2,2,3,0,2,2,6,+7
20201226,Kelan Martin,Ind,2.05,1,1,1.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,+3
20201226,Cassius Stanley,Ind,2.05,1,2,.500,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,+3
20201226,Jalen Lecque,Ind,2.05,0,1,.000,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,+3
20201226,JaKarr Sampson,Ind,2.05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,+3
20201226,Zach LaVine,Chi,28.50,6,13,.462,3,6,.500,2,2,1.000,0,1,1,2,1,0,3,4,17,-20
20201226,Wendell Carter Jr,Chi,27.21,2,10,.200,0,1,.000,5,6,.833,3,3,6,2,0,2,1,3,9,-20
20201226,Lauri Markkanen,Chi,27.09,6,14,.429,2,8,.250,2,3,.667,2,7,9,0,0,0,2,2,16,-15
20201226,Coby White,Chi,24.57,4,10,.400,4,7,.571,0,0,0,1,1,2,3,0,1,4,2,12,-16
20201226,Patrick Williams,Chi,22.04,2,6,.333,1,1,1.000,4,4,1.000,1,1,2,1,0,1,4,0,9,-14
20201226,Tomáš Satoranský,Chi,24.54,2,5,.400,0,1,.000,2,2,1.000,2,2,4,9,2,1,3,0,6,-1
20201226,Garrett Temple,Chi,19.51,2,7,.286,2,4,.500,0,0,0,1,1,2,2,2,0,0,1,6,+7
20201226,Otto Porter Jr,Chi,19.07,4,12,.333,1,5,.200,1,1,1.000,1,5,6,2,0,0,2,1,10,-6
20201226,Denzel Valentine,Chi,12.54,4,6,.667,3,4,.750,0,0,0,0,1,1,0,1,1,0,0,11,-10
20201226,Daniel Gafford,Chi,11.57,1,3,.333,0,0,0,1,2,.500,2,2,4,0,0,1,0,0,3,-3
20201226,Ryan Arcidiacono,Chi,8.26,1,3,.333,0,1,.000,3,3,1.000,0,3,3,2,1,0,0,0,5,+3
20201226,Chandler Hutchison,Chi,7.31,0,1,.000,0,0,0,2,2,1.000,0,1,1,0,0,0,0,1,2,+2
20201226,Adam Mokoka,Chi,4.59,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,2,0,-2
20201226,Pascal Siakam,Tor,43.02,6,16,.375,0,5,.000,4,4,1.000,2,13,15,8,1,1,5,5,16,-4
20201226,OG Anunoby,Tor,35.44,3,6,.500,2,5,.400,2,4,.500,1,5,6,1,2,1,0,2,10,+2
20201226,Kyle Lowry,Tor,35.28,6,15,.400,2,6,.333,2,2,1.000,0,0,0,10,2,0,2,5,16,+3
20201226,Fred VanVleet,Tor,35.27,10,20,.500,5,12,.417,2,3,.667,0,3,3,9,1,0,1,1,27,-2
20201226,Aron Baynes,Tor,19.44,6,11,.545,1,4,.250,0,0,0,3,4,7,1,0,0,1,3,13,+4
20201226,Chris Boucher,Tor,28.15,9,13,.692,3,4,.750,1,2,.500,4,6,10,1,0,7,0,4,22,-9
20201226,Matt Thomas,Tor,18.51,3,8,.375,2,5,.400,0,0,0,0,3,3,1,0,0,1,0,8,-10
